country;variable;percentile;year;value;age;pop
GL;wwealpi999;p0p100;1995;1.6962374;999;i
GL;wwealpi999;p0p100;1996;1.7483648;999;i
GL;wwealpi999;p0p100;1997;1.8039621;999;i
GL;wwealpi999;p0p100;1998;1.8560041;999;i
GL;wwealpi999;p0p100;1999;1.9120047;999;i
GL;wwealpi999;p0p100;2000;1.9682901;999;i
GL;wwealpi999;p0p100;2001;2.0247631;999;i
GL;wwealpi999;p0p100;2002;2.0855999;999;i
GL;wwealpi999;p0p100;2003;2.1405292;999;i
GL;wwealpi999;p0p100;2004;2.1909382;999;i
GL;wwealpi999;p0p100;2005;2.2644424;999;i
GL;wwealpi999;p0p100;2006;2.3241298;999;i
GL;wwealpi999;p0p100;2007;2.3685336;999;i
GL;wwealpi999;p0p100;2008;2.431433;999;i
GL;wwealpi999;p0p100;2009;2.4518764;999;i
GL;wwealpi999;p0p100;2010;2.5226068;999;i
GL;wwealpi999;p0p100;2011;2.5843256;999;i
GL;wwealpi999;p0p100;2012;2.6514213;999;i
GL;wwealpi999;p0p100;2013;2.6960592;999;i
GL;wwealpi999;p0p100;2014;2.7836566;999;i
GL;wwealpi999;p0p100;2015;2.853452;999;i
GL;wwealpi999;p0p100;2016;2.9487882;999;i
GL;wwealpi999;p0p100;2017;3.0500975;999;i
GL;wwealpi999;p0p100;2018;3.1425667;999;i
GL;wwealpi999;p0p100;2019;3.2643774;999;i
GL;wwealpi999;p0p100;2020;3.383918;999;i
GL;wwealpi999;p0p100;2021;3.5054069;999;i
GL;wwealpi999;p0p100;2022;3.6273446;999;i
GL;acomrxi999;p0p100;1979;0;999;i
GL;acomrxi999;p0p100;1980;0;999;i
GL;acomrxi999;p0p100;1981;0;999;i
GL;acomrxi999;p0p100;1982;0;999;i
GL;acomrxi999;p0p100;1983;0;999;i
GL;acomrxi999;p0p100;1984;0;999;i
GL;acomrxi999;p0p100;1985;0;999;i
GL;acomrxi999;p0p100;1986;0;999;i
GL;acomrxi999;p0p100;1987;0;999;i
GL;acomrxi999;p0p100;1988;0;999;i
GL;acomrxi999;p0p100;1989;0;999;i
GL;acomrxi999;p0p100;1990;0;999;i
GL;acomrxi999;p0p100;1991;0;999;i
GL;acomrxi999;p0p100;1992;0;999;i
GL;acomrxi999;p0p100;1993;0;999;i
GL;acomrxi999;p0p100;1994;0;999;i
GL;acomrxi999;p0p100;1995;0;999;i
GL;acomrxi999;p0p100;1996;0;999;i
GL;acomrxi999;p0p100;1997;0;999;i
GL;acomrxi999;p0p100;1998;0;999;i
GL;acomrxi999;p0p100;1999;0;999;i
GL;acomrxi999;p0p100;2000;0;999;i
GL;acomrxi999;p0p100;2001;0;999;i
GL;acomrxi999;p0p100;2002;0;999;i
GL;acomrxi999;p0p100;2003;0;999;i
GL;acomrxi999;p0p100;2004;0;999;i
GL;acomrxi999;p0p100;2005;0;999;i
GL;mgweali999;p0p100;1995;3456959232;999;i
GL;mgweali999;p0p100;1996;3807016960;999;i
GL;mgweali999;p0p100;1997;4108028928;999;i
GL;mgweali999;p0p100;1998;4755771392;999;i
GL;mgweali999;p0p100;1999;5082832384;999;i
GL;mgweali999;p0p100;2000;5800481792;999;i
GL;mgweali999;p0p100;2001;6164346368;999;i
GL;mgweali999;p0p100;2002;6405032960;999;i
GL;mgweali999;p0p100;2003;7060687360;999;i
GL;mgweali999;p0p100;2004;7994710528;999;i
GL;mgweali999;p0p100;2005;8818743296;999;i
GL;mgweali999;p0p100;2006;9773300736;999;i
GL;mgweali999;p0p100;2007;10368710656;999;i
GL;mgweali999;p0p100;2008;11345197056;999;i
GL;mgweali999;p0p100;2009;11610700800;999;i
GL;mgweali999;p0p100;2010;11739531264;999;i
GL;mgweali999;p0p100;2011;11572556800;999;i
GL;mgweali999;p0p100;2012;11647474688;999;i
GL;mgweali999;p0p100;2013;11276956672;999;i
GL;mgweali999;p0p100;2014;11637436416;999;i
GL;mgweali999;p0p100;2015;11141261312;999;i
GL;mgweali999;p0p100;2016;11551003648;999;i
GL;mgweali999;p0p100;2017;11298074624;999;i
GL;mgweali999;p0p100;2018;11156409344;999;i
GL;mgweali999;p0p100;2019;11244873728;999;i
GL;mgweali999;p0p100;2020;11145419776;999;i
GL;mgweali999;p0p100;2021;11098142720;999;i
GL;mgweali999;p0p100;2022;11048613888;999;i
GL;mnweali999;p0p100;1995;19093880832;999;i
GL;mnweali999;p0p100;1996;20366139392;999;i
GL;mnweali999;p0p100;1997;21400991744;999;i
GL;mnweali999;p0p100;1998;24145451008;999;i
GL;mnweali999;p0p100;1999;25217857536;999;i
GL;mnweali999;p0p100;2000;28119314432;999;i
GL;mnweali999;p0p100;2001;29189967872;999;i
GL;mnweali999;p0p100;2002;29672941568;999;i
GL;mnweali999;p0p100;2003;31932280832;999;i
GL;mnweali999;p0p100;2004;35272196096;999;i
GL;mnweali999;p0p100;2005;38371872768;999;i
GL;mnweali999;p0p100;2006;41905119232;999;i
GL;mnweali999;p0p100;2007;43865165824;999;i
GL;mnweali999;p0p100;2008;48040329216;999;i
GL;mnweali999;p0p100;2009;48936435712;999;i
GL;mnweali999;p0p100;2010;50468675584;999;i
GL;mnweali999;p0p100;2011;50918395904;999;i
GL;mnweali999;p0p100;2012;52793745408;999;i
GL;mnweali999;p0p100;2013;52466282496;999;i
GL;mnweali999;p0p100;2014;56435101696;999;i
GL;mnweali999;p0p100;2015;56049569792;999;i
GL;mnweali999;p0p100;2016;60709224448;999;i
GL;mnweali999;p0p100;2017;62032449536;999;i
GL;mnweali999;p0p100;2018;63683493888;999;i
GL;mnweali999;p0p100;2019;67130527744;999;i
GL;mnweali999;p0p100;2020;69408546816;999;i
GL;mnweali999;p0p100;2021;72098906112;999;i
GL;mnweali999;p0p100;2022;74848198656;999;i
GL;mnwnxai999;p0p100;1995;-996153088;999;i
GL;mnwnxai999;p0p100;1996;-942505472;999;i
GL;mnwnxai999;p0p100;1997;-877788288;999;i
GL;mnwnxai999;p0p100;1998;-872989632;999;i
GL;mnwnxai999;p0p100;1999;-784156864;999;i
GL;mnwnxai999;p0p100;2000;-712579264;999;i
GL;mnwnxai999;p0p100;2001;-543487808;999;i
GL;mnwnxai999;p0p100;2002;-327440544;999;i
GL;mnwnxai999;p0p100;2003;-92387824;999;i
GL;mnwnxai999;p0p100;2004;194312272;999;i
GL;mnwnxai999;p0p100;2005;516417792;999;i
GL;mnwnxai999;p0p100;2006;866860800;999;i
GL;mnwnxai999;p0p100;2007;1171013632;999;i
GL;mnwnxai999;p0p100;2008;1477776512;999;i
GL;mnwnxai999;p0p100;2009;1658808704;999;i
GL;mnwnxai999;p0p100;2010;1767428096;999;i
GL;mnwnxai999;p0p100;2011;1809792256;999;i
GL;mnwnxai999;p0p100;2012;1881031552;999;i
GL;mnwnxai999;p0p100;2013;1887204992;999;i
GL;mnwnxai999;p0p100;2014;2016358656;999;i
GL;mnwnxai999;p0p100;2015;2015088384;999;i
GL;mnwnxai999;p0p100;2016;2197211392;999;i
GL;mnwnxai999;p0p100;2017;2292909312;999;i
GL;mnwnxai999;p0p100;2018;2456154880;999;i
GL;mnwnxai999;p0p100;2019;2713696512;999;i
GL;mnwnxai999;p0p100;2020;2969658624;999;i
GL;mnwnxai999;p0p100;2021;3257922816;999;i
GL;mnwnxai999;p0p100;2022;3553329920;999;i
GL;mpweali999;p0p100;1995;15636924416;999;i
GL;mpweali999;p0p100;1996;16559124480;999;i
GL;mpweali999;p0p100;1997;17292963840;999;i
GL;mpweali999;p0p100;1998;19389681664;999;i
GL;mpweali999;p0p100;1999;20135024640;999;i
GL;mpweali999;p0p100;2000;22318833664;999;i
GL;mpweali999;p0p100;2001;23025623040;999;i
GL;mpweali999;p0p100;2002;23267909632;999;i
GL;mpweali999;p0p100;2003;24871593984;999;i
GL;mpweali999;p0p100;2004;27277484032;999;i
GL;mpweali999;p0p100;2005;29553129472;999;i
GL;mpweali999;p0p100;2006;32131819520;999;i
GL;mpweali999;p0p100;2007;33496455168;999;i
GL;mpweali999;p0p100;2008;36695130112;999;i
GL;mpweali999;p0p100;2009;37325733888;999;i
GL;mpweali999;p0p100;2010;38729146368;999;i
GL;mpweali999;p0p100;2011;39345836032;999;i
GL;mpweali999;p0p100;2012;41146269696;999;i
GL;mpweali999;p0p100;2013;41189326848;999;i
GL;mpweali999;p0p100;2014;44797665280;999;i
GL;mpweali999;p0p100;2015;44908310528;999;i
GL;mpweali999;p0p100;2016;49158221824;999;i
GL;mpweali999;p0p100;2017;50734374912;999;i
GL;mpweali999;p0p100;2018;52527083520;999;i
GL;mpweali999;p0p100;2019;55885651968;999;i
GL;mpweali999;p0p100;2020;58263126016;999;i
GL;mpweali999;p0p100;2021;61000765440;999;i
GL;mpweali999;p0p100;2022;63799582720;999;i
GL;mprpgoi999;p0p100;1996;489138208;999;i
GL;mprpgoi999;p0p100;1997;459210528;999;i
GL;mprpgoi999;p0p100;1998;425187968;999;i
GL;mprpgoi999;p0p100;1999;520310176;999;i
GL;mprpgoi999;p0p100;2000;401165248;999;i
GL;mprpgoi999;p0p100;2001;517528032;999;i
GL;mprpgoi999;p0p100;2002;518446496;999;i
GL;mprpgoi999;p0p100;2003;481106016;999;i
GL;mprpgoi999;p0p100;2004;573099840;999;i
GL;mprpgoi999;p0p100;2005;645768128;999;i
GL;mprpgoi999;p0p100;2006;607716224;999;i
GL;mprpgoi999;p0p100;2007;596621504;999;i
GL;mprpgoi999;p0p100;2008;558033856;999;i
GL;mprpgoi999;p0p100;2009;565158656;999;i
GL;mprpgoi999;p0p100;2010;540334016;999;i
GL;mprpgoi999;p0p100;2011;447519168;999;i
GL;mprpgoi999;p0p100;2012;525341600;999;i
GL;mprpgoi999;p0p100;2013;626119360;999;i
GL;mprpgoi999;p0p100;2014;624052928;999;i
GL;mprpgoi999;p0p100;2015;459382048;999;i
GL;mprpgoi999;p0p100;2016;494580480;999;i
GL;mprpgoi999;p0p100;2017;467996512;999;i
GL;msprgoi999;p0p100;1996;919642176;999;i
GL;msprgoi999;p0p100;1997;972627264;999;i
GL;msprgoi999;p0p100;1998;1060272832;999;i
GL;msprgoi999;p0p100;1999;1104057600;999;i
GL;msprgoi999;p0p100;2000;984366848;999;i
GL;msprgoi999;p0p100;2001;992390592;999;i
GL;msprgoi999;p0p100;2002;971796864;999;i
GL;msprgoi999;p0p100;2003;932439488;999;i
GL;msprgoi999;p0p100;2004;923238400;999;i
GL;msprgoi999;p0p100;2005;960713024;999;i
GL;msprgoi999;p0p100;2006;832661696;999;i
GL;msprgoi999;p0p100;2007;822668928;999;i
GL;msprgoi999;p0p100;2008;768488960;999;i
GL;msprgoi999;p0p100;2009;722752896;999;i
GL;msprgoi999;p0p100;2010;722712384;999;i
GL;msprgoi999;p0p100;2011;659784384;999;i
GL;msprgoi999;p0p100;2012;643704000;999;i
GL;msprgoi999;p0p100;2013;594675648;999;i
GL;msprgoi999;p0p100;2014;592446720;999;i
GL;msprgoi999;p0p100;2015;555766016;999;i
GL;msprgoi999;p0p100;2016;504309216;999;i
GL;msprgoi999;p0p100;2017;514102080;999;i
GL;mtiwgoi999;p0p100;1996;2785896960;999;i
GL;mtiwgoi999;p0p100;1997;3039974144;999;i
GL;mtiwgoi999;p0p100;1998;3041130496;999;i
GL;mtiwgoi999;p0p100;1999;3260476160;999;i
GL;mtiwgoi999;p0p100;2000;3393602048;999;i
GL;mtiwgoi999;p0p100;2001;3538056448;999;i
GL;mtiwgoi999;p0p100;2002;3532988672;999;i
GL;mtiwgoi999;p0p100;2003;3761279744;999;i
GL;mtiwgoi999;p0p100;2004;4002591232;999;i
GL;mtiwgoi999;p0p100;2005;3915625728;999;i
GL;mtiwgoi999;p0p100;2006;3997030144;999;i
GL;mtiwgoi999;p0p100;2007;4239302144;999;i
GL;mtiwgoi999;p0p100;2008;4416642560;999;i
GL;mtiwgoi999;p0p100;2009;4242232064;999;i
GL;mtiwgoi999;p0p100;2010;4730125824;999;i
GL;mtiwgoi999;p0p100;2011;4741044224;999;i
GL;mtiwgoi999;p0p100;2012;4685530624;999;i
GL;mtiwgoi999;p0p100;2013;4575865344;999;i
GL;mtiwgoi999;p0p100;2014;4745268736;999;i
GL;mtiwgoi999;p0p100;2015;4535691776;999;i
GL;mtiwgoi999;p0p100;2016;4577831424;999;i
GL;mtiwgoi999;p0p100;2017;4531651584;999;i
GL;acfcgoi992;p0p100;1996;15410;992;i
GL;acfcgoi992;p0p100;1997;15257.2;992;i
GL;acfcgoi992;p0p100;1998;15221;992;i
GL;acfcgoi992;p0p100;1999;15037.4;992;i
GL;acfcgoi992;p0p100;2000;15128.1;992;i
GL;acfcgoi992;p0p100;2001;15082.9;992;i
GL;acfcgoi992;p0p100;2002;15206.5;992;i
GL;acfcgoi992;p0p100;2003;15940.5;992;i
GL;acfcgoi992;p0p100;2004;16520.5;992;i
GL;acfcgoi992;p0p100;2005;15857.1;992;i
GL;acfcgoi992;p0p100;2006;15964.1;992;i
GL;acfcgoi992;p0p100;2007;16308.9;992;i
GL;acfcgoi992;p0p100;2008;18152.6;992;i
GL;acfcgoi992;p0p100;2009;17596.2;992;i
GL;acfcgoi992;p0p100;2010;17758.7;992;i
GL;acfcgoi992;p0p100;2011;17478.6;992;i
GL;acfcgoi992;p0p100;2012;17736.5;992;i
GL;acfcgoi992;p0p100;2013;17646.1;992;i
GL;acfcgoi992;p0p100;2014;17821.3;992;i
GL;acfcgoi992;p0p100;2015;16698.5;992;i
GL;acfcgoi992;p0p100;2016;15606.7;992;i
GL;acfcgoi992;p0p100;2017;15453;992;i
GL;acolgoi992;p0p100;1996;74830.7;992;i
GL;acolgoi992;p0p100;1997;78382.4;992;i
GL;acolgoi992;p0p100;1998;81075.7;992;i
GL;acolgoi992;p0p100;1999;76871.4;992;i
GL;acolgoi992;p0p100;2000;78897.3;992;i
GL;acolgoi992;p0p100;2001;75815.2;992;i
GL;acolgoi992;p0p100;2002;73140.4;992;i
GL;acolgoi992;p0p100;2003;87165.4;992;i
GL;acolgoi992;p0p100;2004;89219.5;992;i
GL;acolgoi992;p0p100;2005;83613.8;992;i
GL;acolgoi992;p0p100;2006;86368.2;992;i
GL;acolgoi992;p0p100;2007;88406.3;992;i
GL;acolgoi992;p0p100;2008;96826;992;i
GL;acolgoi992;p0p100;2009;98870.5;992;i
GL;acolgoi992;p0p100;2010;90734.7;992;i
GL;acolgoi992;p0p100;2011;90661;992;i
GL;acolgoi992;p0p100;2012;90884;992;i
GL;acolgoi992;p0p100;2013;96402.1;992;i
GL;acolgoi992;p0p100;2014;97166.1;992;i
GL;acolgoi992;p0p100;2015;86357.9;992;i
GL;acolgoi992;p0p100;2016;88459.5;992;i
GL;acolgoi992;p0p100;2017;89199.2;992;i
GL;acolgoi999;p0p100;1996;49292.5;999;i
GL;acolgoi999;p0p100;1997;51586.3;999;i
GL;acolgoi999;p0p100;1998;53375.4;999;i
GL;acolgoi999;p0p100;1999;50688.6;999;i
GL;acolgoi999;p0p100;2000;52103.9;999;i
GL;acolgoi999;p0p100;2001;50140.5;999;i
GL;acolgoi999;p0p100;2002;48500.4;999;i
GL;acolgoi999;p0p100;2003;58032.4;999;i
GL;acolgoi999;p0p100;2004;59695.1;999;i
GL;acolgoi999;p0p100;2005;56223.6;999;i
GL;acolgoi999;p0p100;2006;58381.5;999;i
GL;acolgoi999;p0p100;2007;60131.2;999;i
GL;acolgoi999;p0p100;2008;66300.3;999;i
GL;acolgoi999;p0p100;2009;68166.3;999;i
GL;acolgoi999;p0p100;2010;62988.3;999;i
GL;acolgoi999;p0p100;2011;63389.2;999;i
GL;acolgoi999;p0p100;2012;64033.9;999;i
GL;acolgoi999;p0p100;2013;68450.3;999;i
GL;acolgoi999;p0p100;2014;69495.7;999;i
GL;acolgoi999;p0p100;2015;62092.1;999;i
GL;acolgoi999;p0p100;2016;63838.7;999;i
GL;acolgoi999;p0p100;2017;64602.8;999;i
GL;acomnxi992;p0p100;1979;-32983.9;992;i
GL;acomnxi992;p0p100;1980;-35401.9;992;i
GL;acomnxi992;p0p100;1981;-31966.1;992;i
GL;acomnxi992;p0p100;1982;-21460.4;992;i
GL;acomnxi992;p0p100;1983;-28331.2;992;i
GL;acomnxi992;p0p100;1984;-21515;992;i
GL;acomnxi992;p0p100;1985;-20258.1;992;i
GL;acomnxi992;p0p100;1986;-25285.1;992;i
GL;acomnxi992;p0p100;1987;-23592.6;992;i
GL;acomnxi992;p0p100;1988;-24420.7;992;i
GL;acomnxi992;p0p100;1989;-22765.3;992;i
GL;acomnxi992;p0p100;1990;-21482.3;992;i
GL;acomnxi992;p0p100;1991;-20837.6;992;i
GL;acomnxi992;p0p100;1992;-20606.3;992;i
GL;acomnxi992;p0p100;1993;-18237.7;992;i
GL;acomnxi992;p0p100;1994;-16006.9;992;i
GL;acomnxi992;p0p100;1995;-12374.6;992;i
GL;acomnxi992;p0p100;1996;-8906.1;992;i
GL;acomnxi992;p0p100;1997;-8852.2;992;i
GL;acomnxi992;p0p100;1998;-8755.8;992;i
GL;acomnxi992;p0p100;1999;-8652.7;992;i
GL;acomnxi992;p0p100;2000;-8449.2;992;i
GL;acomnxi992;p0p100;2001;-9837.6;992;i
GL;acomnxi992;p0p100;2002;-9486;992;i
GL;acomnxi992;p0p100;2003;-9663.5;992;i
GL;acomnxi992;p0p100;2004;-9796.9;992;i
GL;acomnxi992;p0p100;2005;-9856.2;992;i
GL;acomnxi999;p0p100;1979;-18808.3;999;i
GL;acomnxi999;p0p100;1980;-20583.6;999;i
GL;acomnxi999;p0p100;1981;-18948.1;999;i
GL;acomnxi999;p0p100;1982;-12984.6;999;i
GL;acomnxi999;p0p100;1983;-17506.4;999;i
GL;acomnxi999;p0p100;1984;-13571.2;999;i
GL;acomnxi999;p0p100;1985;-13015.9;999;i
GL;acomnxi999;p0p100;1986;-16509;999;i
GL;acomnxi999;p0p100;1987;-15628.2;999;i
GL;acomnxi999;p0p100;1988;-16372;999;i
GL;acomnxi999;p0p100;1989;-15394.5;999;i
GL;acomnxi999;p0p100;1990;-14569.2;999;i
GL;acomnxi999;p0p100;1991;-14099.3;999;i
GL;acomnxi999;p0p100;1992;-13876.9;999;i
GL;acomnxi999;p0p100;1993;-12203.4;999;i
GL;acomnxi999;p0p100;1994;-10629.8;999;i
GL;acomnxi999;p0p100;1995;-8170.8;999;i
GL;acomnxi999;p0p100;1996;-5866.6;999;i
GL;acomnxi999;p0p100;1997;-5826;999;i
GL;acomnxi999;p0p100;1998;-5764.3;999;i
GL;acomnxi999;p0p100;1999;-5705.5;999;i
GL;acomnxi999;p0p100;2000;-5579.9;999;i
GL;acomnxi999;p0p100;2001;-6506.1;999;i
GL;acomnxi999;p0p100;2002;-6290.3;999;i
GL;acomnxi999;p0p100;2003;-6433.7;999;i
GL;acomnxi999;p0p100;2004;-6554.9;999;i
GL;acomnxi999;p0p100;2005;-6627.5;999;i
GL;acompxi992;p0p100;1979;32983.9;992;i
GL;acompxi992;p0p100;1980;35401.9;992;i
GL;acompxi992;p0p100;1981;31966.1;992;i
GL;acompxi992;p0p100;1982;21460.4;992;i
GL;acompxi992;p0p100;1983;28331.2;992;i
GL;acompxi992;p0p100;1984;21515;992;i
GL;acompxi992;p0p100;1985;20258.1;992;i
GL;acompxi992;p0p100;1986;25285.1;992;i
GL;acompxi992;p0p100;1987;23592.6;992;i
GL;acompxi992;p0p100;1988;24420.7;992;i
GL;acompxi992;p0p100;1989;22765.3;992;i
GL;acompxi992;p0p100;1990;21482.3;992;i
GL;acompxi992;p0p100;1991;20837.6;992;i
GL;acompxi992;p0p100;1992;20606.3;992;i
GL;acompxi992;p0p100;1993;18237.7;992;i
GL;acompxi992;p0p100;1994;16006.9;992;i
GL;acompxi992;p0p100;1995;12374.6;992;i
GL;acompxi992;p0p100;1996;8906.1;992;i
GL;acompxi992;p0p100;1997;8852.2;992;i
GL;acompxi992;p0p100;1998;8755.8;992;i
GL;acompxi992;p0p100;1999;8652.7;992;i
GL;acompxi992;p0p100;2000;8449.2;992;i
GL;acompxi992;p0p100;2001;9837.6;992;i
GL;acompxi992;p0p100;2002;9486;992;i
GL;acompxi992;p0p100;2003;9663.5;992;i
GL;acompxi992;p0p100;2004;9796.9;992;i
GL;acompxi992;p0p100;2005;9856.2;992;i
GL;acompxi992;p0p100;2006;9132.2;992;i
GL;acompxi992;p0p100;2007;9073.5;992;i
GL;acompxi999;p0p100;1979;18808.3;999;i
GL;acompxi999;p0p100;1980;20583.6;999;i
GL;acompxi999;p0p100;1981;18948.1;999;i
GL;acompxi999;p0p100;1982;12984.6;999;i
GL;acompxi999;p0p100;1983;17506.4;999;i
GL;acompxi999;p0p100;1984;13571.2;999;i
GL;acompxi999;p0p100;1985;13015.9;999;i
GL;acompxi999;p0p100;1986;16509;999;i
GL;acompxi999;p0p100;1987;15628.2;999;i
GL;acompxi999;p0p100;1988;16372;999;i
GL;acompxi999;p0p100;1989;15394.5;999;i
GL;acompxi999;p0p100;1990;14569.2;999;i
GL;acompxi999;p0p100;1991;14099.3;999;i
GL;acompxi999;p0p100;1992;13876.9;999;i
GL;acompxi999;p0p100;1993;12203.4;999;i
GL;acompxi999;p0p100;1994;10629.8;999;i
GL;acompxi999;p0p100;1995;8170.8;999;i
GL;acompxi999;p0p100;1996;5866.6;999;i
GL;acompxi999;p0p100;1997;5826;999;i
GL;acompxi999;p0p100;1998;5764.3;999;i
GL;acompxi999;p0p100;1999;5705.5;999;i
GL;acompxi999;p0p100;2000;5579.9;999;i
GL;acompxi999;p0p100;2001;6506.1;999;i
GL;acompxi999;p0p100;2002;6290.3;999;i
GL;acompxi999;p0p100;2003;6433.7;999;i
GL;acompxi999;p0p100;2004;6554.9;999;i
GL;acompxi999;p0p100;2005;6627.5;999;i
GL;acompxi999;p0p100;2006;6173;999;i
GL;acompxi999;p0p100;2007;6171.5;999;i
GL;acomrxi992;p0p100;1979;0;992;i
GL;acomrxi992;p0p100;1980;0;992;i
GL;acomrxi992;p0p100;1981;0;992;i
GL;acomrxi992;p0p100;1982;0;992;i
GL;acomrxi992;p0p100;1983;0;992;i
GL;acomrxi992;p0p100;1984;0;992;i
GL;acomrxi992;p0p100;1985;0;992;i
GL;acomrxi992;p0p100;1986;0;992;i
GL;acomrxi992;p0p100;1987;0;992;i
GL;acomrxi992;p0p100;1988;0;992;i
GL;acomrxi992;p0p100;1989;0;992;i
GL;acomrxi992;p0p100;1990;0;992;i
GL;acomrxi992;p0p100;1991;0;992;i
GL;acomrxi992;p0p100;1992;0;992;i
GL;acomrxi992;p0p100;1993;0;992;i
GL;acomrxi992;p0p100;1994;0;992;i
GL;acomrxi992;p0p100;1995;0;992;i
GL;acomrxi992;p0p100;1996;0;992;i
GL;acomrxi992;p0p100;1997;0;992;i
GL;acomrxi992;p0p100;1998;0;992;i
GL;acomrxi992;p0p100;1999;0;992;i
GL;acomrxi992;p0p100;2000;0;992;i
GL;acomrxi992;p0p100;2001;0;992;i
GL;acomrxi992;p0p100;2002;0;992;i
GL;acomrxi992;p0p100;2003;0;992;i
GL;acomrxi992;p0p100;2004;0;992;i
GL;acomrxi992;p0p100;2005;0;992;i
GL;aconfci992;p0p100;1970;30473;992;i
GL;aconfci992;p0p100;1971;31970.4;992;i
GL;aconfci992;p0p100;1972;33654.8;992;i
GL;aconfci992;p0p100;1973;35096.3;992;i
GL;aconfci992;p0p100;1974;36287.6;992;i
GL;aconfci992;p0p100;1975;37329;992;i
GL;aconfci992;p0p100;1976;38449.6;992;i
GL;aconfci992;p0p100;1977;39973.3;992;i
GL;aconfci992;p0p100;1978;41729;992;i
GL;aconfci992;p0p100;1979;43155.3;992;i
GL;aconfci992;p0p100;1980;43758.2;992;i
GL;aconfci992;p0p100;1981;43345.7;992;i
GL;aconfci992;p0p100;1982;42324.9;992;i
GL;aconfci992;p0p100;1983;41199.2;992;i
GL;aconfci992;p0p100;1984;40317;992;i
GL;aconfci992;p0p100;1985;40145.2;992;i
GL;aconfci992;p0p100;1986;40603.8;992;i
GL;aconfci992;p0p100;1987;41186.4;992;i
GL;aconfci992;p0p100;1988;41442.8;992;i
GL;aconfci992;p0p100;1989;40996;992;i
GL;aconfci992;p0p100;1990;39990.4;992;i
GL;aconfci992;p0p100;1991;38988.1;992;i
GL;aconfci992;p0p100;1992;38117.8;992;i
GL;aconfci992;p0p100;1993;37770.5;992;i
GL;aconfci992;p0p100;1994;38211.7;992;i
GL;aconfci992;p0p100;1995;39105.1;992;i
GL;aconfci992;p0p100;1996;40229.3;992;i
GL;aconfci992;p0p100;1997;41687.3;992;i
GL;aconfci992;p0p100;1998;43419.6;992;i
GL;aconfci992;p0p100;1999;45213.1;992;i
GL;aconfci992;p0p100;2000;46908.7;992;i
GL;aconfci992;p0p100;2001;48373.4;992;i
GL;aconfci992;p0p100;2002;49853.1;992;i
GL;aconfci992;p0p100;2003;51636.5;992;i
GL;aconfci992;p0p100;2004;53806.6;992;i
GL;aconfci992;p0p100;2005;56336.4;992;i
GL;aconfci992;p0p100;2006;58981.7;992;i
GL;aconfci992;p0p100;2007;61382.5;992;i
GL;aconfci992;p0p100;2008;63413.4;992;i
GL;aconfci992;p0p100;2009;64850.2;992;i
GL;aconfci992;p0p100;2010;65674;992;i
GL;aconfci992;p0p100;2011;66022;992;i
GL;aconfci992;p0p100;2012;66194.4;992;i
GL;aconfci992;p0p100;2013;66380.1;992;i
GL;aconfci992;p0p100;2014;66784.2;992;i
GL;aconfci992;p0p100;2015;67277.6;992;i
GL;aconfci992;p0p100;2016;67921.6;992;i
GL;aconfci992;p0p100;2017;68578.4;992;i
GL;aconfci992;p0p100;2018;69268.9;992;i
GL;aconfci992;p0p100;2019;70030.2;992;i
GL;aconfci992;p0p100;2020;70682.7;992;i
GL;aconfci992;p0p100;2021;71200.3;992;i
GL;aconfci992;p0p100;2022;71741.7;992;i
GL;aconfci999;p0p100;1970;14915.2;999;i
GL;aconfci999;p0p100;1971;15810.1;999;i
GL;aconfci999;p0p100;1972;16788.2;999;i
GL;aconfci999;p0p100;1973;17721.9;999;i
GL;aconfci999;p0p100;1974;18616.7;999;i
GL;aconfci999;p0p100;1975;19532.9;999;i
GL;aconfci999;p0p100;1976;20602.8;999;i
GL;aconfci999;p0p100;1977;21907.8;999;i
GL;aconfci999;p0p100;1978;23322.9;999;i
GL;aconfci999;p0p100;1979;24608.2;999;i
GL;aconfci999;p0p100;1980;25442.2;999;i
GL;aconfci999;p0p100;1981;25693.5;999;i
GL;aconfci999;p0p100;1982;25608.8;999;i
GL;aconfci999;p0p100;1983;25457.9;999;i
GL;aconfci999;p0p100;1984;25431.2;999;i
GL;aconfci999;p0p100;1985;25793.4;999;i
GL;aconfci999;p0p100;1986;26510.7;999;i
GL;aconfci999;p0p100;1987;27282.7;999;i
GL;aconfci999;p0p100;1988;27783.9;999;i
GL;aconfci999;p0p100;1989;27722.6;999;i
GL;aconfci999;p0p100;1990;27121.3;999;i
GL;aconfci999;p0p100;1991;26380.3;999;i
GL;aconfci999;p0p100;1992;25669.7;999;i
GL;aconfci999;p0p100;1993;25273.4;999;i
GL;aconfci999;p0p100;1994;25375.4;999;i
GL;aconfci999;p0p100;1995;25820.5;999;i
GL;aconfci999;p0p100;1996;26499.8;999;i
GL;aconfci999;p0p100;1997;27435.9;999;i
GL;aconfci999;p0p100;1998;28584.8;999;i
GL;aconfci999;p0p100;1999;29813.3;999;i
GL;aconfci999;p0p100;2000;30978.6;999;i
GL;aconfci999;p0p100;2001;31991.9;999;i
GL;aconfci999;p0p100;2002;33058.3;999;i
GL;aconfci999;p0p100;2003;34378.2;999;i
GL;aconfci999;p0p100;2004;36001;999;i
GL;aconfci999;p0p100;2005;37881.8;999;i
GL;aconfci999;p0p100;2006;39869.3;999;i
