country;variable;percentile;year;value;age;pop
BM;wwealni999;p0p100;1995;0.2115833;999;i
BM;wwealni999;p0p100;1996;0.28282702;999;i
BM;wwealni999;p0p100;1997;0.33473176;999;i
BM;wwealni999;p0p100;1998;0.28031963;999;i
BM;wwealni999;p0p100;1999;0.28583613;999;i
BM;wwealni999;p0p100;2000;0.38498047;999;i
BM;wwealni999;p0p100;2001;0.43407074;999;i
BM;wwealni999;p0p100;2002;0.49041361;999;i
BM;wwealni999;p0p100;2003;0.52543592;999;i
BM;wwealni999;p0p100;2004;0.57531554;999;i
BM;wwealni999;p0p100;2005;0.66376799;999;i
BM;wwealni999;p0p100;2006;0.77015781;999;i
BM;wwealni999;p0p100;2007;0.83070964;999;i
BM;wwealni999;p0p100;2008;0.88734347;999;i
BM;wwealni999;p0p100;2009;0.86365134;999;i
BM;wwealni999;p0p100;2010;0.82577586;999;i
BM;wwealni999;p0p100;2011;1.156175;999;i
BM;wwealni999;p0p100;2012;0.85042989;999;i
BM;wwealni999;p0p100;2013;0.84719831;999;i
BM;wwealni999;p0p100;2014;0.83884627;999;i
BM;wwealni999;p0p100;2015;0.86250818;999;i
BM;wwealni999;p0p100;2016;0.83621997;999;i
BM;wwealni999;p0p100;2017;0.85131007;999;i
BM;wwealni999;p0p100;2018;0.92628634;999;i
BM;wwealni999;p0p100;2019;0.96307689;999;i
BM;wwealni999;p0p100;2020;0.97497201;999;i
BM;wwealni999;p0p100;2021;1.119399;999;i
BM;wwealni999;p0p100;2022;1.2931025;999;i
BM;wwealpi999;p0p100;1995;0.39255661;999;i
BM;wwealpi999;p0p100;1996;0.43536866;999;i
BM;wwealpi999;p0p100;1997;0.44405121;999;i
BM;wwealpi999;p0p100;1998;0.49741471;999;i
BM;wwealpi999;p0p100;1999;0.54545766;999;i
BM;wwealpi999;p0p100;2000;0.57147008;999;i
BM;wwealpi999;p0p100;2001;0.60326111;999;i
BM;wwealpi999;p0p100;2002;0.6410749;999;i
BM;wwealpi999;p0p100;2003;0.69347984;999;i
BM;wwealpi999;p0p100;2004;0.68675977;999;i
BM;wwealpi999;p0p100;2005;0.71930873;999;i
BM;wwealpi999;p0p100;2006;0.72759324;999;i
BM;wwealpi999;p0p100;2007;0.79255754;999;i
BM;wwealpi999;p0p100;2008;0.77608043;999;i
BM;wwealpi999;p0p100;2009;0.75816011;999;i
BM;wwealpi999;p0p100;2010;0.76801914;999;i
BM;wwealpi999;p0p100;2011;0.7648896;999;i
BM;wwealpi999;p0p100;2012;0.77704793;999;i
BM;wwealpi999;p0p100;2013;0.78968573;999;i
BM;wwealpi999;p0p100;2014;0.8301475;999;i
BM;wwealpi999;p0p100;2015;0.89602333;999;i
BM;wwealpi999;p0p100;2016;0.94114429;999;i
BM;wwealpi999;p0p100;2017;1.001498;999;i
BM;wwealpi999;p0p100;2018;1.074982;999;i
BM;wwealpi999;p0p100;2019;1.1557004;999;i
BM;wwealpi999;p0p100;2020;1.2114394;999;i
BM;wwealpi999;p0p100;2021;1.319154;999;i
BM;wwealpi999;p0p100;2022;1.4717799;999;i
BM;afdipxi999;p0p100;2006;1013.2;999;i
BM;afdipxi999;p0p100;2007;4630.7;999;i
BM;afdipxi999;p0p100;2008;6541.3;999;i
BM;afdipxi999;p0p100;2009;3858.7;999;i
BM;afdipxi999;p0p100;2010;3305.5;999;i
BM;afdipxi999;p0p100;2011;3911.4;999;i
BM;afdipxi999;p0p100;2012;1897.9;999;i
BM;afdipxi999;p0p100;2013;12750.2;999;i
BM;afdipxi999;p0p100;2014;1810.5;999;i
BM;afdipxi999;p0p100;2015;1454.9;999;i
BM;afdipxi999;p0p100;2016;1995.2;999;i
BM;afdipxi999;p0p100;2017;1028.8;999;i
BM;afdipxi999;p0p100;2018;2163.9;999;i
BM;afinrxi999;p0p100;1996;106681;999;i
BM;afinrxi999;p0p100;1997;117886.8;999;i
BM;afinrxi999;p0p100;1998;104328.6;999;i
BM;afinrxi999;p0p100;1999;106936.3;999;i
BM;afinrxi999;p0p100;2000;106955.4;999;i
BM;afinrxi999;p0p100;2001;108157.8;999;i
BM;afinrxi999;p0p100;2002;105048.5;999;i
BM;afinrxi999;p0p100;2003;128129.6;999;i
BM;afinrxi999;p0p100;2004;117140.9;999;i
BM;afinrxi999;p0p100;2005;130295.8;999;i
BM;afinrxi999;p0p100;2006;135961;999;i
BM;afinrxi999;p0p100;2007;150545.3;999;i
BM;afinrxi999;p0p100;2008;119588.6;999;i
BM;afinrxi999;p0p100;2009;108653.3;999;i
BM;afinrxi999;p0p100;2010;104796.6;999;i
BM;afinrxi999;p0p100;2011;59063.8;999;i
BM;afinrxi999;p0p100;2012;70820.7;999;i
BM;afinrxi999;p0p100;2013;87747.8;999;i
BM;afinrxi999;p0p100;2014;87748.7;999;i
BM;afinrxi999;p0p100;2015;84944.5;999;i
BM;afinrxi999;p0p100;2016;74462.6;999;i
BM;afinrxi999;p0p100;2017;70459.6;999;i
BM;afinrxi999;p0p100;2018;77312.3;999;i
BM;afinrxi999;p0p100;2019;34869.6;999;i
BM;acfchoi999;p0p100;2000;5.5;999;i
BM;acfchoi999;p0p100;2001;815.7;999;i
BM;acfchoi999;p0p100;2002;798.8;999;i
BM;acfchoi999;p0p100;2003;798.9;999;i
BM;acfchoi999;p0p100;2004;810.6;999;i
BM;acfchoi999;p0p100;2005;804.2;999;i
BM;acfchoi999;p0p100;2006;824.4;999;i
BM;acfchoi999;p0p100;2007;788.6;999;i
BM;acfchoi999;p0p100;2008;766.7;999;i
BM;acfchoi999;p0p100;2009;769.4;999;i
BM;acfchoi999;p0p100;2010;833.6;999;i
BM;acfchoi999;p0p100;2011;871.6;999;i
BM;acfchoi999;p0p100;2012;830.9;999;i
BM;acfchoi999;p0p100;2013;821.4;999;i
BM;acfchoi999;p0p100;2014;796.9;999;i
BM;acfchoi999;p0p100;2015;786.9;999;i
BM;acfchoi999;p0p100;2016;768.5;999;i
BM;acfchoi999;p0p100;2017;812.3;999;i
BM;acfchoi999;p0p100;2018;791.1;999;i
BM;acfchoi999;p0p100;2019;780.7;999;i
BM;acfchni999;p0p100;2000;76.5;999;i
BM;acfchni999;p0p100;2001;963.9;999;i
BM;acfchni999;p0p100;2002;913.6;999;i
BM;acfchni999;p0p100;2003;896.2;999;i
BM;acfchni999;p0p100;2004;955.3;999;i
BM;acfchni999;p0p100;2005;964.8;999;i
BM;acfchni999;p0p100;2006;971.8;999;i
BM;acfchni999;p0p100;2007;910.4;999;i
BM;acfchni999;p0p100;2008;858.3;999;i
BM;acfchni999;p0p100;2009;903.8;999;i
BM;acfchni999;p0p100;2010;966.2;999;i
BM;acfchni999;p0p100;2011;971.8;999;i
BM;acfchni999;p0p100;2012;955.7;999;i
BM;acfchni999;p0p100;2013;963.8;999;i
BM;acfchni999;p0p100;2014;919.2;999;i
BM;acfchni999;p0p100;2015;934.9;999;i
BM;acfchni999;p0p100;2016;920.3;999;i
BM;acfchni999;p0p100;2017;970.7;999;i
BM;acfchni999;p0p100;2018;970.5;999;i
BM;acfchni999;p0p100;2019;927.3;999;i
BM;mgweali999;p0p100;1995;-1036747456;999;i
BM;mgweali999;p0p100;1996;-2107661056;999;i
BM;mgweali999;p0p100;1997;-2143132288;999;i
BM;mgweali999;p0p100;1998;-1908061184;999;i
BM;mgweali999;p0p100;1999;-1793429632;999;i
BM;mgweali999;p0p100;2000;-1657711872;999;i
BM;mgweali999;p0p100;2001;-1489733120;999;i
BM;mgweali999;p0p100;2002;-1242853376;999;i
BM;mgweali999;p0p100;2003;1681615104;999;i
BM;mgweali999;p0p100;2004;2172490496;999;i
BM;mgweali999;p0p100;2005;2791861248;999;i
BM;mgweali999;p0p100;2006;3430689536;999;i
BM;mgweali999;p0p100;2007;2046474368;999;i
BM;mgweali999;p0p100;2008;567759936;999;i
BM;mgweali999;p0p100;2009;1987796608;999;i
BM;mgweali999;p0p100;2010;5740101632;999;i
BM;mgweali999;p0p100;2011;6173425664;999;i
BM;mgweali999;p0p100;2012;4888176640;999;i
BM;mgweali999;p0p100;2013;4915197440;999;i
BM;mgweali999;p0p100;2014;4931076608;999;i
BM;mgweali999;p0p100;2015;4853861888;999;i
BM;mgweali999;p0p100;2016;4180671488;999;i
BM;mgweali999;p0p100;2017;3670598400;999;i
BM;mgweali999;p0p100;2018;3301416448;999;i
BM;mgweali999;p0p100;2019;2456148992;999;i
BM;mgweali999;p0p100;2020;2309440000;999;i
BM;mgweali999;p0p100;2021;2484684288;999;i
BM;mgweali999;p0p100;2022;2935528448;999;i
BM;mnweali999;p0p100;1995;1148397824;999;i
BM;mnweali999;p0p100;1996;3332092160;999;i
BM;mnweali999;p0p100;1997;4259662336;999;i
BM;mnweali999;p0p100;1998;3420925952;999;i
BM;mnweali999;p0p100;1999;3591641856;999;i
BM;mnweali999;p0p100;2000;5006301696;999;i
BM;mnweali999;p0p100;2001;5806502912;999;i
BM;mnweali999;p0p100;2002;6447152640;999;i
BM;mnweali999;p0p100;2003;7817674240;999;i
BM;mnweali999;p0p100;2004;8229750784;999;i
BM;mnweali999;p0p100;2005;10154185728;999;i
BM;mnweali999;p0p100;2006;12358063104;999;i
BM;mnweali999;p0p100;2007;14198452224;999;i
BM;mnweali999;p0p100;2008;13278627840;999;i
BM;mnweali999;p0p100;2009;12187334656;999;i
BM;mnweali999;p0p100;2010;11239006208;999;i
BM;mnweali999;p0p100;2011;11957200896;999;i
BM;mnweali999;p0p100;2012;9327218688;999;i
BM;mnweali999;p0p100;2013;9577210880;999;i
BM;mnweali999;p0p100;2014;9849354240;999;i
BM;mnweali999;p0p100;2015;10157360128;999;i
BM;mnweali999;p0p100;2016;9327484928;999;i
BM;mnweali999;p0p100;2017;9520572416;999;i
BM;mnweali999;p0p100;2018;10774585344;999;i
BM;mnweali999;p0p100;2019;8514384384;999;i
BM;mnweali999;p0p100;2020;8017635328;999;i
BM;mnweali999;p0p100;2021;9714445312;999;i
BM;mnweali999;p0p100;2022;11840734208;999;i
BM;mnwnxai999;p0p100;1995;-4315693568;999;i
BM;mnwnxai999;p0p100;1996;-9506103296;999;i
BM;mnwnxai999;p0p100;1997;-10486468608;999;i
BM;mnwnxai999;p0p100;1998;-10307181568;999;i
BM;mnwnxai999;p0p100;1999;-10898456576;999;i
BM;mnwnxai999;p0p100;2000;-11581518848;999;i
BM;mnwnxai999;p0p100;2001;-12217956352;999;i
BM;mnwnxai999;p0p100;2002;-12288171008;999;i
BM;mnwnxai999;p0p100;2003;-2849474560;999;i
BM;mnwnxai999;p0p100;2004;-2032175232;999;i
BM;mnwnxai999;p0p100;2005;-1996258816;999;i
BM;mnwnxai999;p0p100;2006;-1818296064;999;i
BM;mnwnxai999;p0p100;2007;-10197600256;999;i
BM;mnwnxai999;p0p100;2008;-15143719936;999;i
BM;mnwnxai999;p0p100;2009;-9913199616;999;i
BM;mnwnxai999;p0p100;2010;4875423232;999;i
BM;mnwnxai999;p0p100;2011;10390291456;999;i
BM;mnwnxai999;p0p100;2012;5263485440;999;i
BM;mnwnxai999;p0p100;2013;6100403712;999;i
BM;mnwnxai999;p0p100;2014;6905044992;999;i
BM;mnwnxai999;p0p100;2015;7820780032;999;i
BM;mnwnxai999;p0p100;2016;6831267840;999;i
BM;mnwnxai999;p0p100;2017;5738779136;999;i
BM;mnwnxai999;p0p100;2018;4805243392;999;i
BM;mnwnxai999;p0p100;2019;4020070656;999;i
BM;mnwnxai999;p0p100;2020;4330066944;999;i
BM;mnwnxai999;p0p100;2021;5207102464;999;i
BM;mnwnxai999;p0p100;2022;7147571200;999;i
BM;mpweali999;p0p100;1995;2130655744;999;i
BM;mpweali999;p0p100;1996;5129243136;999;i
BM;mpweali999;p0p100;1997;5650817536;999;i
BM;mpweali999;p0p100;1998;6070281216;999;i
BM;mpweali999;p0p100;1999;6853886976;999;i
BM;mpweali999;p0p100;2000;7431419904;999;i
BM;mpweali999;p0p100;2001;8069739008;999;i
BM;mpweali999;p0p100;2002;8427799552;999;i
BM;mpweali999;p0p100;2003;10317907968;999;i
BM;mpweali999;p0p100;2004;9823933440;999;i
BM;mpweali999;p0p100;2005;11003836416;999;i
BM;mpweali999;p0p100;2006;11675066368;999;i
BM;mpweali999;p0p100;2007;13546358784;999;i
BM;mpweali999;p0p100;2008;11613635584;999;i
BM;mpweali999;p0p100;2009;10698704896;999;i
BM;mpweali999;p0p100;2010;10452923392;999;i
BM;mpweali999;p0p100;2011;7910513664;999;i
BM;mpweali999;p0p100;2012;8522390528;999;i
BM;mpweali999;p0p100;2013;8927055872;999;i
BM;mpweali999;p0p100;2014;9747217408;999;i
BM;mpweali999;p0p100;2015;10552052736;999;i
BM;mpweali999;p0p100;2016;10497847296;999;i
BM;mpweali999;p0p100;2017;11200189440;999;i
BM;mpweali999;p0p100;2018;12504217600;999;i
BM;mpweali999;p0p100;2019;10217333760;999;i
BM;mpweali999;p0p100;2020;9962213376;999;i
BM;mpweali999;p0p100;2021;11447972864;999;i
BM;mpweali999;p0p100;2022;13476855808;999;i
BM;mpinnxi999;p0p100;1996;4103176960;999;i
BM;mpinnxi999;p0p100;1997;4645228544;999;i
BM;mpinnxi999;p0p100;1998;3835712000;999;i
BM;mpinnxi999;p0p100;1999;3924506112;999;i
BM;mpinnxi999;p0p100;2000;3943839488;999;i
BM;mpinnxi999;p0p100;2001;3563956224;999;i
BM;mpinnxi999;p0p100;2002;2972126208;999;i
BM;mpinnxi999;p0p100;2003;4325772800;999;i
BM;mpinnxi999;p0p100;2004;5171566080;999;i
BM;mpinnxi999;p0p100;2005;5861475328;999;i
BM;mpinnxi999;p0p100;2006;6096723456;999;i
BM;mpinnxi999;p0p100;2007;6430168576;999;i
BM;mpinnxi999;p0p100;2008;4553657344;999;i
BM;mpinnxi999;p0p100;2009;4159887360;999;i
BM;mpinnxi999;p0p100;2010;4096327936;999;i
BM;mpinnxi999;p0p100;2011;1202072704;999;i
BM;mpinnxi999;p0p100;2012;2315634944;999;i
BM;mpinnxi999;p0p100;2013;2661346816;999;i
BM;mpinnxi999;p0p100;2014;3257347328;999;i
BM;mpinnxi999;p0p100;2015;3079351808;999;i
BM;mpinnxi999;p0p100;2016;2567787776;999;i
BM;mpinnxi999;p0p100;2017;2273505024;999;i
BM;mpinnxi999;p0p100;2018;2791595520;999;i
BM;mpinnxi999;p0p100;2019;-9635060;999;i
BM;mptfrxi999;p0p100;2006;6495023616;999;i
BM;mptfrxi999;p0p100;2007;7055650816;999;i
BM;mptfrxi999;p0p100;2008;5109651968;999;i
BM;mptfrxi999;p0p100;2009;4680050688;999;i
BM;mptfrxi999;p0p100;2010;4634476544;999;i
BM;mptfrxi999;p0p100;2011;1811386752;999;i
BM;mptfrxi999;p0p100;2012;2718267904;999;i
BM;mptfrxi999;p0p100;2013;3029875456;999;i
BM;mptfrxi999;p0p100;2014;3679278336;999;i
BM;mptfrxi999;p0p100;2015;3325499904;999;i
BM;mptfrxi999;p0p100;2016;2717533440;999;i
BM;mptfrxi999;p0p100;2017;2319661312;999;i
BM;mptfrxi999;p0p100;2018;2917501440;999;i
BM;acfccoi992;p0p100;2000;10640.1;992;i
BM;acfccoi992;p0p100;2001;11638.6;992;i
BM;acfccoi992;p0p100;2002;7868.1;992;i
BM;acfccoi992;p0p100;2003;9900.7;992;i
BM;acfccoi992;p0p100;2004;10701.7;992;i
BM;acfccoi992;p0p100;2005;8173.3;992;i
BM;acfccoi992;p0p100;2006;6624.7;992;i
BM;acfccoi992;p0p100;2007;6350.6;992;i
BM;acfccoi992;p0p100;2008;6224.1;992;i
BM;acfccoi992;p0p100;2009;6478.8;992;i
BM;acfccoi992;p0p100;2010;6698.4;992;i
BM;acfccoi992;p0p100;2011;6883.9;992;i
BM;acfccoi992;p0p100;2012;5922.6;992;i
BM;acfccoi992;p0p100;2013;5839.4;992;i
BM;acfccoi992;p0p100;2014;5569.9;992;i
BM;acfccoi992;p0p100;2015;5910.8;992;i
BM;acfccoi992;p0p100;2016;5518.7;992;i
BM;acfccoi992;p0p100;2017;5655.8;992;i
BM;acfccoi992;p0p100;2018;5360.9;992;i
BM;acfccoi992;p0p100;2019;5188.9;992;i
BM;acfccoi999;p0p100;2000;8015.4;999;i
BM;acfccoi999;p0p100;2001;8779.1;999;i
BM;acfccoi999;p0p100;2002;5952.5;999;i
BM;acfccoi999;p0p100;2003;7523.3;999;i
BM;acfccoi999;p0p100;2004;8175.2;999;i
BM;acfccoi999;p0p100;2005;6276.8;999;i
BM;acfccoi999;p0p100;2006;5112.3;999;i
BM;acfccoi999;p0p100;2007;4923.4;999;i
BM;acfccoi999;p0p100;2008;4845.2;999;i
BM;acfccoi999;p0p100;2009;5062.7;999;i
BM;acfccoi999;p0p100;2010;5254;999;i
BM;acfccoi999;p0p100;2011;5420.5;999;i
BM;acfccoi999;p0p100;2012;4683.2;999;i
BM;acfccoi999;p0p100;2013;4635.7;999;i
BM;acfccoi999;p0p100;2014;4437.8;999;i
BM;acfccoi999;p0p100;2015;4726.2;999;i
BM;acfccoi999;p0p100;2016;4421.4;999;i
BM;acfccoi999;p0p100;2017;4529.5;999;i
BM;acfccoi999;p0p100;2018;4288;999;i
BM;acfccoi999;p0p100;2019;4146.9;999;i
BM;acfcfci992;p0p100;2000;1829.4;992;i
BM;acfcfci992;p0p100;2001;2173.5;992;i
BM;acfcfci992;p0p100;2002;2034.1;992;i
BM;acfcfci992;p0p100;2003;1842.7;992;i
BM;acfcfci992;p0p100;2004;1850.5;992;i
BM;acfcfci992;p0p100;2005;1744.9;992;i
BM;acfcfci992;p0p100;2006;1772.5;992;i
BM;acfcfci992;p0p100;2007;1781.4;992;i
BM;acfcfci992;p0p100;2008;2022.2;992;i
BM;acfcfci992;p0p100;2009;1971.8;992;i
BM;acfcfci992;p0p100;2010;2421.1;992;i
BM;acfcfci992;p0p100;2011;2847.3;992;i
BM;acfcfci992;p0p100;2012;2101.1;992;i
BM;acfcfci992;p0p100;2013;1971.3;992;i
BM;acfcfci992;p0p100;2014;1817;992;i
BM;acfcfci992;p0p100;2015;1873.6;992;i
BM;acfcfci992;p0p100;2016;1642.9;992;i
BM;acfcfci992;p0p100;2017;1554.2;992;i
BM;acfcfci992;p0p100;2018;1554.9;992;i
BM;acfcfci992;p0p100;2019;1476.1;992;i
BM;acfcfci999;p0p100;2000;1378.1;999;i
BM;acfcfci999;p0p100;2001;1639.5;999;i
BM;acfcfci999;p0p100;2002;1538.9;999;i
BM;acfcfci999;p0p100;2003;1400.3;999;i
BM;acfcfci999;p0p100;2004;1413.6;999;i
BM;acfcfci999;p0p100;2005;1340;999;i
BM;acfcfci999;p0p100;2006;1367.8;999;i
BM;acfcfci999;p0p100;2007;1381.1;999;i
BM;acfcfci999;p0p100;2008;1574.2;999;i
BM;acfcfci999;p0p100;2009;1540.8;999;i
BM;acfcfci999;p0p100;2010;1899;999;i
BM;acfcfci999;p0p100;2011;2242;999;i
BM;acfcfci999;p0p100;2012;1661.4;999;i
BM;acfcfci999;p0p100;2013;1564.9;999;i
BM;acfcfci999;p0p100;2014;1447.7;999;i
BM;acfcfci999;p0p100;2015;1498.1;999;i
BM;acfcfci999;p0p100;2016;1316.2;999;i
BM;acfcfci999;p0p100;2017;1244.7;999;i
BM;acfcfci999;p0p100;2018;1243.7;999;i
BM;acfcfci999;p0p100;2019;1179.7;999;i
BM;acfcgoi992;p0p100;2000;1193.5;992;i
BM;acfcgoi992;p0p100;2001;1435.2;992;i
BM;acfcgoi992;p0p100;2002;1008.4;992;i
BM;acfcgoi992;p0p100;2003;1231.1;992;i
BM;acfcgoi992;p0p100;2004;1328;992;i
BM;acfcgoi992;p0p100;2005;1047.7;992;i
BM;acfcgoi992;p0p100;2006;876;992;i
BM;acfcgoi992;p0p100;2007;836.1;992;i
BM;acfcgoi992;p0p100;2008;814.1;992;i
BM;acfcgoi992;p0p100;2009;848.4;992;i
BM;acfcgoi992;p0p100;2010;881.1;992;i
BM;acfcgoi992;p0p100;2011;902;992;i
BM;acfcgoi992;p0p100;2012;792.4;992;i
BM;acfcgoi992;p0p100;2013;783.7;992;i
BM;acfcgoi992;p0p100;2014;747.1;992;i
BM;acfcgoi992;p0p100;2015;822.6;992;i
BM;acfcgoi992;p0p100;2016;794.7;992;i
BM;acfcgoi992;p0p100;2017;763.1;992;i
BM;acfcgoi992;p0p100;2018;730.5;992;i
BM;acfcgoi992;p0p100;2019;705.5;992;i
BM;acfchni992;p0p100;2000;101.5;992;i
BM;acfchni992;p0p100;2001;1277.9;992;i
BM;acfchni992;p0p100;2002;1207.6;992;i
BM;acfchni992;p0p100;2003;1179.4;992;i
BM;acfchni992;p0p100;2004;1250.6;992;i
BM;acfchni992;p0p100;2005;1256.4;992;i
BM;acfchni992;p0p100;2006;1259.3;992;i
BM;acfchni992;p0p100;2007;1174.3;992;i
BM;acfchni992;p0p100;2008;1102.6;992;i
BM;acfchni992;p0p100;2009;1156.6;992;i
BM;acfchni992;p0p100;2010;1231.9;992;i
BM;acfchni992;p0p100;2011;1234.2;992;i
BM;acfchni992;p0p100;2012;1208.7;992;i
BM;acfchni992;p0p100;2013;1214.1;992;i
BM;acfchni992;p0p100;2014;1153.7;992;i
BM;acfchni992;p0p100;2015;1169.2;992;i
BM;acfchni992;p0p100;2016;1148.7;992;i
BM;acfchni992;p0p100;2017;1212.1;992;i
BM;acfchni992;p0p100;2018;1213.3;992;i
BM;acfchni992;p0p100;2019;1160.3;992;i
BM;acfchoi992;p0p100;2000;7.3;992;i
BM;acfchoi992;p0p100;2001;1081.4;992;i
BM;acfchoi992;p0p100;2002;1055.9;992;i
BM;acfchoi992;p0p100;2003;1051.4;992;i
BM;acfchoi992;p0p100;2004;1061.1;992;i
BM;acfchoi992;p0p100;2005;1047.2;992;i
BM;acfchoi992;p0p100;2006;1068.3;992;i
BM;acfchoi992;p0p100;2007;1017.1;992;i
BM;acfchoi992;p0p100;2008;984.8;992;i
BM;acfchoi992;p0p100;2009;984.6;992;i
BM;acfchoi992;p0p100;2010;1062.8;992;i
BM;acfchoi992;p0p100;2011;1106.9;992;i
BM;acfchoi992;p0p100;2012;1050.7;992;i
BM;acfchoi992;p0p100;2013;1034.7;992;i
BM;acfchoi992;p0p100;2014;1000.1;992;i
BM;acfchoi992;p0p100;2015;984.1;992;i
BM;acfchoi992;p0p100;2016;959.3;992;i
BM;acfchoi992;p0p100;2017;1014.3;992;i
BM;acfchoi992;p0p100;2018;989;992;i
BM;acfchoi992;p0p100;2019;976.9;992;i
BM;acfcnfi992;p0p100;2000;8810.8;992;i
BM;acfcnfi992;p0p100;2001;9465.1;992;i
BM;acfcnfi992;p0p100;2002;5834;992;i
BM;acfcnfi992;p0p100;2003;8058;992;i
BM;acfcnfi992;p0p100;2004;8851.2;992;i
BM;acfcnfi992;p0p100;2005;6428.4;992;i
BM;acfcnfi992;p0p100;2006;4852.2;992;i
BM;acfcnfi992;p0p100;2007;4569.2;992;i
BM;acfcnfi992;p0p100;2008;4201.9;992;i
BM;acfcnfi992;p0p100;2009;4507;992;i
BM;acfcnfi992;p0p100;2010;4277.3;992;i
BM;acfcnfi992;p0p100;2011;4036.6;992;i
BM;acfcnfi992;p0p100;2012;3821.5;992;i
BM;acfcnfi992;p0p100;2013;3868.2;992;i
BM;acfcnfi992;p0p100;2014;3752.9;992;i
BM;acfcnfi992;p0p100;2015;4037.2;992;i
BM;acfcnfi992;p0p100;2016;3875.9;992;i
BM;acfcnfi992;p0p100;2017;4101.6;992;i
BM;acfcnfi992;p0p100;2018;3806;992;i
BM;acfcnfi992;p0p100;2019;3712.8;992;i
BM;acfcnfi999;p0p100;2000;6637.3;999;i
BM;acfcnfi999;p0p100;2001;7139.6;999;i
BM;acfcnfi999;p0p100;2002;4413.6;999;i
BM;acfcnfi999;p0p100;2003;6123.1;999;i
BM;acfcnfi999;p0p100;2004;6761.6;999;i
BM;acfcnfi999;p0p100;2005;4936.7;999;i
BM;acfcnfi999;p0p100;2006;3744.5;999;i
BM;acfcnfi999;p0p100;2007;3542.4;999;i
BM;acfcnfi999;p0p100;2008;3271;999;i
BM;acfcnfi999;p0p100;2009;3521.9;999;i
BM;acfcnfi999;p0p100;2010;3355;999;i
BM;acfcnfi999;p0p100;2011;3178.5;999;i
BM;acfcnfi999;p0p100;2012;3021.8;999;i
BM;acfcnfi999;p0p100;2013;3070.8;999;i
BM;acfcnfi999;p0p100;2014;2990.1;999;i
BM;acfcnfi999;p0p100;2015;3228.1;999;i
BM;acfcnfi999;p0p100;2016;3105.2;999;i
BM;acfcnfi999;p0p100;2017;3284.8;999;i
BM;acfcnfi999;p0p100;2018;3044.3;999;i
BM;acfcnfi999;p0p100;2019;2967.2;999;i
BM;acfcnpi992;p0p100;2000;94.3;992;i
BM;acfcnpi992;p0p100;2001;196.4;992;i
BM;acfcnpi992;p0p100;2002;151.7;992;i
BM;acfcnpi992;p0p100;2003;128;992;i
BM;acfcnpi992;p0p100;2004;189.4;992;i
BM;acfcnpi992;p0p100;2005;209.2;992;i
BM;acfcnpi992;p0p100;2006;190.9;992;i
BM;acfcnpi992;p0p100;2007;157.2;992;i
BM;acfcnpi992;p0p100;2008;117.7;992;i
BM;acfcnpi992;p0p100;2009;172;992;i
BM;acfcnpi992;p0p100;2010;169.1;992;i
BM;acfcnpi992;p0p100;2011;127.2;992;i
BM;acfcnpi992;p0p100;2012;157.9;992;i
BM;acfcnpi992;p0p100;2013;179.3;992;i
BM;acfcnpi992;p0p100;2014;153.6;992;i
BM;acfcnpi992;p0p100;2015;185.1;992;i
BM;acfcnpi992;p0p100;2016;189.4;992;i
BM;acfcnpi992;p0p100;2017;197.7;992;i
BM;acfcnpi992;p0p100;2018;224.3;992;i
BM;acfcnpi992;p0p100;2019;183.4;992;i
BM;acfcnpi999;p0p100;2000;71;999;i
BM;acfcnpi999;p0p100;2001;148.2;999;i
BM;acfcnpi999;p0p100;2002;114.8;999;i
BM;acfcnpi999;p0p100;2003;97.3;999;i
BM;acfcnpi999;p0p100;2004;144.7;999;i
BM;acfcnpi999;p0p100;2005;160.7;999;i
BM;acfcnpi999;p0p100;2006;147.3;999;i
BM;acfcnpi999;p0p100;2007;121.9;999;i
BM;acfcnpi999;p0p100;2008;91.7;999;i
BM;acfcnpi999;p0p100;2009;134.4;999;i
BM;acfcnpi999;p0p100;2010;132.6;999;i
BM;acfcnpi999;p0p100;2011;100.2;999;i
BM;acfcnpi999;p0p100;2012;124.9;999;i
BM;acfcnpi999;p0p100;2013;142.4;999;i
BM;acfcnpi999;p0p100;2014;122.4;999;i
BM;acfcnpi999;p0p100;2015;148;999;i
BM;acfcnpi999;p0p100;2016;151.7;999;i
BM;acfcnpi999;p0p100;2017;158.4;999;i
BM;acfcnpi999;p0p100;2018;179.4;999;i
BM;acfcnpi999;p0p100;2019;146.6;999;i
BM;acomhni992;p0p100;2000;97313.8;992;i
BM;acomhni992;p0p100;2001;111022.5;992;i
BM;acomhni992;p0p100;2002;115227.5;992;i
BM;acomhni992;p0p100;2003;121616.3;992;i
BM;acomhni992;p0p100;2004;90787.6;992;i
BM;acomhni992;p0p100;2005;95465.4;992;i
BM;acomhni992;p0p100;2006;97748.4;992;i
BM;acomhni992;p0p100;2007;103826.3;992;i
BM;acomhni992;p0p100;2008;100624.7;992;i
BM;acomhni992;p0p100;2009;97281.4;992;i
BM;acomhni992;p0p100;2010;93793.3;992;i
BM;acomhni992;p0p100;2011;89966.1;992;i
BM;acomhni992;p0p100;2012;85849.7;992;i
BM;acomhni992;p0p100;2013;83879.3;992;i
BM;acomhni992;p0p100;2014;81135.1;992;i
BM;acomhni992;p0p100;2015;83260.4;992;i
BM;acomhni992;p0p100;2016;79808.2;992;i
BM;acomhni992;p0p100;2017;82485.6;992;i
