country;variable;percentile;year;value;age;pop
US-MD;afiinct992;p0p90;1917;11378.4;992;t
US-MD;afiinct992;p0p90;1918;11391.6;992;t
US-MD;afiinct992;p0p90;1919;11203.1;992;t
US-MD;afiinct992;p0p90;1920;10885.4;992;t
US-MD;afiinct992;p0p90;1921;8607.7;992;t
US-MD;afiinct992;p0p90;1922;10091.6;992;t
US-MD;afiinct992;p0p90;1923;12534.7;992;t
US-MD;afiinct992;p0p90;1924;11254;992;t
US-MD;afiinct992;p0p90;1925;11142.8;992;t
US-MD;afiinct992;p0p90;1926;10948.4;992;t
US-MD;afiinct992;p0p90;1927;10648.9;992;t
US-MD;afiinct992;p0p90;1928;11142;992;t
US-MD;afiinct992;p0p90;1929;11499;992;t
US-MD;afiinct992;p0p90;1930;10445.7;992;t
US-MD;afiinct992;p0p90;1931;10247.7;992;t
US-MD;afiinct992;p0p90;1932;9074;992;t
US-MD;afiinct992;p0p90;1933;8724.7;992;t
US-MD;afiinct992;p0p90;1934;8865.4;992;t
US-MD;afiinct992;p0p90;1935;9249.4;992;t
US-MD;afiinct992;p0p90;1936;10183.6;992;t
US-MD;afiinct992;p0p90;1937;10980.4;992;t
US-MD;afiinct992;p0p90;1938;10676.3;992;t
US-MD;afiinct992;p0p90;1939;11533.8;992;t
US-MD;afiinct992;p0p90;1940;13419.3;992;t
US-MD;afiinct992;p0p90;1941;17139.1;992;t
US-MD;afiinct992;p0p90;1942;23963.1;992;t
US-MD;afiinct992;p0p90;1943;28051.2;992;t
US-MD;afiinct992;p0p90;1944;26920.6;992;t
US-MD;afiinct992;p0p90;1945;25255.4;992;t
US-MD;afiinct992;p0p90;1946;22804.7;992;t
US-MD;afiinct992;p0p90;1947;21444.6;992;t
US-MD;afiinct992;p0p90;1948;23169.3;992;t
US-MD;afiinct992;p0p90;1949;22764;992;t
US-MD;afiinct992;p0p90;1950;25121.3;992;t
US-MD;afiinct992;p0p90;1952;27828.7;992;t
US-MD;afiinct992;p0p90;1953;29520.8;992;t
US-MD;afiinct992;p0p90;1954;28600;992;t
US-MD;afiinct992;p0p90;1955;30478.1;992;t
US-MD;afiinct992;p0p90;1956;31922.5;992;t
US-MD;afiinct992;p0p90;1957;32064.7;992;t
US-MD;afiinct992;p0p90;1958;30511.2;992;t
US-MD;afiinct992;p0p90;1959;30766.9;992;t
US-MD;afiinct992;p0p90;1960;31732;992;t
US-MD;afiinct992;p0p90;1961;31726.4;992;t
US-MD;afiinct992;p0p90;1962;33184.7;992;t
US-MD;afiinct992;p0p90;1963;34508.3;992;t
US-MD;afiinct992;p0p90;1964;35755.8;992;t
US-MD;afiinct992;p0p90;1965;36774.9;992;t
US-MD;afiinct992;p0p90;1966;39010.8;992;t
US-MD;afiinct992;p0p90;1967;40814.2;992;t
US-MD;afiinct992;p0p90;1968;41748.5;992;t
US-MD;afiinct992;p0p90;1969;44398.4;992;t
US-MD;afiinct992;p0p90;1970;46313.3;992;t
US-MD;afiinct992;p0p90;1971;46993.9;992;t
US-MD;afiinct992;p0p90;1972;48217.8;992;t
US-MD;afiinct992;p0p90;1973;48429.4;992;t
US-MD;afiinct992;p0p90;1974;46696.8;992;t
US-MD;afiinct992;p0p90;1975;44749;992;t
US-MD;afiinct992;p0p90;1976;46051.4;992;t
US-MD;afiinct992;p0p90;1977;44632.2;992;t
US-MD;afiinct992;p0p90;1978;44960;992;t
US-MD;afiinct992;p0p90;1979;44402.2;992;t
US-MD;afiinct992;p0p90;1980;44314.2;992;t
US-MD;afiinct992;p0p90;1981;42607.8;992;t
US-MD;afiinct992;p0p90;1982;40462.5;992;t
US-MD;afiinct992;p0p90;1983;43343;992;t
US-MD;afiinct992;p0p90;1984;44050;992;t
US-MD;afiinct992;p0p90;1985;44972.6;992;t
US-MD;afiinct992;p0p90;1986;48388.1;992;t
US-MD;afiinct992;p0p90;1987;47174.7;992;t
US-MD;afiinct992;p0p90;1988;48897.4;992;t
US-MD;afiinct992;p0p90;1989;47728.9;992;t
US-MD;afiinct992;p0p90;1990;47592.4;992;t
US-MD;afiinct992;p0p90;1991;46132.6;992;t
US-MD;afiinct992;p0p90;1992;45143;992;t
US-MD;afiinct992;p0p90;1993;45324.5;992;t
US-MD;afiinct992;p0p90;1994;45812.5;992;t
US-MD;afiinct992;p0p90;1995;45927.7;992;t
US-MD;afiinct992;p0p90;1996;45792.3;992;t
US-MD;afiinct992;p0p90;1997;46884.8;992;t
US-MD;afiinct992;p0p90;1998;49775.2;992;t
US-MD;afiinct992;p0p90;1999;53487.4;992;t
US-MD;afiinct992;p0p90;2000;56130.1;992;t
US-MD;afiinct992;p0p90;2001;56032.6;992;t
US-MD;afiinct992;p0p90;2002;56351.3;992;t
US-MD;afiinct992;p0p90;2003;55312.3;992;t
US-MD;afiinct992;p0p90;2004;58053.5;992;t
US-MD;afiinct992;p0p90;2005;59130;992;t
US-MD;afiinct992;p0p90;2006;59107.2;992;t
US-MD;afiinct992;p0p90;2007;60313.6;992;t
US-MD;afiinct992;p0p90;2008;59693.8;992;t
US-MD;afiinct992;p0p90;2009;56848.8;992;t
US-MD;afiinct992;p0p90;2010;56931;992;t
US-MD;afiinct992;p0p90;2011;56501.3;992;t
US-MD;afiinct992;p0p90;2012;57056.6;992;t
US-MD;afiinct992;p0p90;2013;53631.7;992;t
US-MD;afiinct992;p0p90;2014;54209.4;992;t
US-MD;afiinct992;p0p90;2015;57356.3;992;t
US-MD;afiinct992;p0p90;2016;56835.2;992;t
US-MD;afiinct992;p0p90;2017;56789.9;992;t
US-MD;afiinct992;p0p90;2018;58024.9;992;t
US-MD;afiinct992;p0p99;1917;15729.2;992;t
US-MD;afiinct992;p0p99;1918;15392.3;992;t
US-MD;afiinct992;p0p99;1919;15116.5;992;t
US-MD;afiinct992;p0p99;1920;14469;992;t
US-MD;afiinct992;p0p99;1921;12778.3;992;t
US-MD;afiinct992;p0p99;1922;14571.8;992;t
US-MD;afiinct992;p0p99;1923;16402.2;992;t
US-MD;afiinct992;p0p99;1924;16017.3;992;t
US-MD;afiinct992;p0p99;1925;16282;992;t
US-MD;afiinct992;p0p99;1926;16402.2;992;t
US-MD;afiinct992;p0p99;1927;16152.9;992;t
US-MD;afiinct992;p0p99;1928;16844.8;992;t
US-MD;afiinct992;p0p99;1929;17225.9;992;t
US-MD;afiinct992;p0p99;1930;16744.2;992;t
US-MD;afiinct992;p0p99;1931;16511.9;992;t
US-MD;afiinct992;p0p99;1932;15007.8;992;t
US-MD;afiinct992;p0p99;1933;13875.9;992;t
US-MD;afiinct992;p0p99;1934;14553.9;992;t
US-MD;afiinct992;p0p99;1935;14966.4;992;t
US-MD;afiinct992;p0p99;1936;16135;992;t
US-MD;afiinct992;p0p99;1937;16813.5;992;t
US-MD;afiinct992;p0p99;1938;16377;992;t
US-MD;afiinct992;p0p99;1939;17249.9;992;t
US-MD;afiinct992;p0p99;1940;18452.7;992;t
US-MD;afiinct992;p0p99;1941;22350.6;992;t
US-MD;afiinct992;p0p99;1942;28512.9;992;t
US-MD;afiinct992;p0p99;1943;32771;992;t
US-MD;afiinct992;p0p99;1944;31781.8;992;t
US-MD;afiinct992;p0p99;1945;29664.1;992;t
US-MD;afiinct992;p0p99;1946;27898.1;992;t
US-MD;afiinct992;p0p99;1947;26419.3;992;t
US-MD;afiinct992;p0p99;1948;28012.6;992;t
US-MD;afiinct992;p0p99;1949;27984.3;992;t
US-MD;afiinct992;p0p99;1950;30244;992;t
US-MD;afiinct992;p0p99;1951;22649.6;992;t
US-MD;afiinct992;p0p99;1952;34018.5;992;t
US-MD;afiinct992;p0p99;1953;35409.9;992;t
US-MD;afiinct992;p0p99;1954;34359.9;992;t
US-MD;afiinct992;p0p99;1955;36304.2;992;t
US-MD;afiinct992;p0p99;1956;37827.6;992;t
US-MD;afiinct992;p0p99;1957;37831.1;992;t
US-MD;afiinct992;p0p99;1958;36509.1;992;t
US-MD;afiinct992;p0p99;1959;37521.2;992;t
US-MD;afiinct992;p0p99;1960;38373.6;992;t
US-MD;afiinct992;p0p99;1961;39289.7;992;t
US-MD;afiinct992;p0p99;1962;40397.6;992;t
US-MD;afiinct992;p0p99;1963;42045.7;992;t
US-MD;afiinct992;p0p99;1964;43807.3;992;t
US-MD;afiinct992;p0p99;1965;45482;992;t
US-MD;afiinct992;p0p99;1966;47921.6;992;t
US-MD;afiinct992;p0p99;1967;49901;992;t
US-MD;afiinct992;p0p99;1968;51335;992;t
US-MD;afiinct992;p0p99;1969;53702.2;992;t
US-MD;afiinct992;p0p99;1970;55255.5;992;t
US-MD;afiinct992;p0p99;1971;56300.3;992;t
US-MD;afiinct992;p0p99;1972;57887.5;992;t
US-MD;afiinct992;p0p99;1973;58678;992;t
US-MD;afiinct992;p0p99;1974;56377.3;992;t
US-MD;afiinct992;p0p99;1975;54070.6;992;t
US-MD;afiinct992;p0p99;1976;55314.2;992;t
US-MD;afiinct992;p0p99;1977;54573.4;992;t
US-MD;afiinct992;p0p99;1978;54960.3;992;t
US-MD;afiinct992;p0p99;1979;54495.5;992;t
US-MD;afiinct992;p0p99;1980;54050.4;992;t
US-MD;afiinct992;p0p99;1981;52758.1;992;t
US-MD;afiinct992;p0p99;1982;51777.4;992;t
US-MD;afiinct992;p0p99;1983;53871.4;992;t
US-MD;afiinct992;p0p99;1984;54586.8;992;t
US-MD;afiinct992;p0p99;1985;55883;992;t
US-MD;afiinct992;p0p99;1986;60151.4;992;t
US-MD;afiinct992;p0p99;1987;58982.2;992;t
US-MD;afiinct992;p0p99;1988;61076.8;992;t
US-MD;afiinct992;p0p99;1989;60163.6;992;t
US-MD;afiinct992;p0p99;1990;60273.7;992;t
US-MD;afiinct992;p0p99;1991;58900.5;992;t
US-MD;afiinct992;p0p99;1992;58060.3;992;t
US-MD;afiinct992;p0p99;1993;58269.2;992;t
US-MD;afiinct992;p0p99;1994;58974.7;992;t
US-MD;afiinct992;p0p99;1995;59725.7;992;t
US-MD;afiinct992;p0p99;1996;60375.8;992;t
US-MD;afiinct992;p0p99;1997;62902;992;t
US-MD;afiinct992;p0p99;1998;65562.5;992;t
US-MD;afiinct992;p0p99;1999;70254.7;992;t
US-MD;afiinct992;p0p99;2000;73426.3;992;t
US-MD;afiinct992;p0p99;2001;72668.5;992;t
US-MD;afiinct992;p0p99;2002;72675.6;992;t
US-MD;afiinct992;p0p99;2003;71792.3;992;t
US-MD;afiinct992;p0p99;2004;75289.1;992;t
US-MD;afiinct992;p0p99;2005;76769.5;992;t
US-MD;afiinct992;p0p99;2006;77347.4;992;t
US-MD;afiinct992;p0p99;2007;78311.7;992;t
US-MD;afiinct992;p0p99;2008;76691;992;t
US-MD;afiinct992;p0p99;2009;73734.5;992;t
US-MD;afiinct992;p0p99;2010;74007.5;992;t
US-MD;afiinct992;p0p99;2011;73888.7;992;t
US-MD;afiinct992;p0p99;2012;74776;992;t
US-MD;afiinct992;p0p99;2013;71475.9;992;t
US-MD;afiinct992;p0p99;2014;72440.2;992;t
US-MD;afiinct992;p0p99;2015;76286.9;992;t
US-MD;afiinct992;p0p99;2016;75664.4;992;t
US-MD;afiinct992;p0p99;2017;76613.2;992;t
US-MD;afiinct992;p0p99;2018;78270.3;992;t
US-MD;afiinct992;p90p100;1917;93501.9;992;t
US-MD;afiinct992;p90p100;1918;81926.3;992;t
US-MD;afiinct992;p90p100;1919;83100.5;992;t
US-MD;afiinct992;p90p100;1920;73901.7;992;t
US-MD;afiinct992;p90p100;1921;75942.9;992;t
US-MD;afiinct992;p90p100;1922;85762.2;992;t
US-MD;afiinct992;p90p100;1923;81839.3;992;t
US-MD;afiinct992;p90p100;1924;92559.5;992;t
US-MD;afiinct992;p90p100;1925;100479.7;992;t
US-MD;afiinct992;p90p100;1926;102858.2;992;t
US-MD;afiinct992;p90p100;1927;108703.9;992;t
US-MD;afiinct992;p90p100;1928;113135.8;992;t
US-MD;afiinct992;p90p100;1929;116219.9;992;t
US-MD;afiinct992;p90p100;1930;105951.8;992;t
US-MD;afiinct992;p90p100;1931;99760.9;992;t
US-MD;afiinct992;p90p100;1932;91614.1;992;t
US-MD;afiinct992;p90p100;1933;84900;992;t
US-MD;afiinct992;p90p100;1934;91518.5;992;t
US-MD;afiinct992;p90p100;1935;94101.6;992;t
US-MD;afiinct992;p90p100;1936;105682.3;992;t
US-MD;afiinct992;p90p100;1937;103191.5;992;t
US-MD;afiinct992;p90p100;1938;96731.7;992;t
US-MD;afiinct992;p90p100;1939;101274.8;992;t
US-MD;afiinct992;p90p100;1940;97881.4;992;t
US-MD;afiinct992;p90p100;1941;107025.8;992;t
US-MD;afiinct992;p90p100;1942;105676;992;t
US-MD;afiinct992;p90p100;1943;113415.4;992;t
US-MD;afiinct992;p90p100;1944;107570.4;992;t
US-MD;afiinct992;p90p100;1945;103885.6;992;t
US-MD;afiinct992;p90p100;1946;109022.5;992;t
US-MD;afiinct992;p90p100;1947;101596.7;992;t
US-MD;afiinct992;p90p100;1948;102574.6;992;t
US-MD;afiinct992;p90p100;1949;103660.1;992;t
US-MD;afiinct992;p90p100;1950;110157.3;992;t
US-MD;afiinct992;p90p100;1951;116781.7;992;t
US-MD;afiinct992;p90p100;1952;120176.6;992;t
US-MD;afiinct992;p90p100;1953;115944.7;992;t
US-MD;afiinct992;p90p100;1954;116123.9;992;t
US-MD;afiinct992;p90p100;1955;119543.1;992;t
US-MD;afiinct992;p90p100;1956;121194.8;992;t
US-MD;afiinct992;p90p100;1957;118745.8;992;t
US-MD;afiinct992;p90p100;1958;118175.7;992;t
US-MD;afiinct992;p90p100;1959;133983;992;t
US-MD;afiinct992;p90p100;1960;128494.7;992;t
US-MD;afiinct992;p90p100;1961;141743.1;992;t
US-MD;afiinct992;p90p100;1962;137813;992;t
US-MD;afiinct992;p90p100;1963;142146.2;992;t
US-MD;afiinct992;p90p100;1964;155660.8;992;t
US-MD;afiinct992;p90p100;1965;166548.7;992;t
US-MD;afiinct992;p90p100;1966;167793.1;992;t
US-MD;afiinct992;p90p100;1967;173939.6;992;t
US-MD;afiinct992;p90p100;1968;185846.2;992;t
US-MD;afiinct992;p90p100;1969;184022.3;992;t
US-MD;afiinct992;p90p100;1970;172581.9;992;t
US-MD;afiinct992;p90p100;1971;178885.7;992;t
US-MD;afiinct992;p90p100;1972;187170.3;992;t
US-MD;afiinct992;p90p100;1973;191942.3;992;t
US-MD;afiinct992;p90p100;1974;191812.2;992;t
US-MD;afiinct992;p90p100;1975;172979.5;992;t
US-MD;afiinct992;p90p100;1976;174337.2;992;t
US-MD;afiinct992;p90p100;1977;181217.4;992;t
US-MD;afiinct992;p90p100;1978;182292.3;992;t
US-MD;afiinct992;p90p100;1979;188855.2;992;t
US-MD;afiinct992;p90p100;1980;183231.5;992;t
US-MD;afiinct992;p90p100;1981;186323.6;992;t
US-MD;afiinct992;p90p100;1982;205476.5;992;t
US-MD;afiinct992;p90p100;1983;197278.8;992;t
US-MD;afiinct992;p90p100;1984;207374.5;992;t
US-MD;afiinct992;p90p100;1985;218965.2;992;t
US-MD;afiinct992;p90p100;1986;255768.7;992;t
US-MD;afiinct992;p90p100;1987;233544.8;992;t
US-MD;afiinct992;p90p100;1988;260091.4;992;t
US-MD;afiinct992;p90p100;1989;255323;992;t
US-MD;afiinct992;p90p100;1990;248003.4;992;t
US-MD;afiinct992;p90p100;1991;239058.8;992;t
US-MD;afiinct992;p90p100;1992;243832.5;992;t
US-MD;afiinct992;p90p100;1993;243258.6;992;t
US-MD;afiinct992;p90p100;1994;247594.9;992;t
US-MD;afiinct992;p90p100;1995;260390.5;992;t
US-MD;afiinct992;p90p100;1996;278289.4;992;t
US-MD;afiinct992;p90p100;1997;312454.8;992;t
US-MD;afiinct992;p90p100;1998;323323.9;992;t
US-MD;afiinct992;p90p100;1999;349617.7;992;t
US-MD;afiinct992;p90p100;2000;378899;992;t
US-MD;afiinct992;p90p100;2001;340522.1;992;t
US-MD;afiinct992;p90p100;2002;328114.8;992;t
US-MD;afiinct992;p90p100;2003;334514.9;992;t
US-MD;afiinct992;p90p100;2004;369474.7;992;t
US-MD;afiinct992;p90p100;2005;389462.7;992;t
US-MD;afiinct992;p90p100;2006;404121.2;992;t
US-MD;afiinct992;p90p100;2007;415072;992;t
US-MD;afiinct992;p90p100;2008;363543.6;992;t
US-MD;afiinct992;p90p100;2009;335592.5;992;t
US-MD;afiinct992;p90p100;2010;346337.5;992;t
US-MD;afiinct992;p90p100;2011;350030.5;992;t
US-MD;afiinct992;p90p100;2012;370096.9;992;t
US-MD;afiinct992;p90p100;2013;347120.6;992;t
US-MD;afiinct992;p90p100;2014;361952.6;992;t
US-MD;afiinct992;p90p100;2015;376831.4;992;t
US-MD;afiinct992;p90p100;2016;373431.8;992;t
US-MD;afiinct992;p90p100;2017;384359.6;992;t
US-MD;afiinct992;p90p100;2018;396805.1;992;t
US-MD;afiinct992;p90p95;1917;45828.8;992;t
US-MD;afiinct992;p90p95;1918;46672.7;992;t
US-MD;afiinct992;p90p95;1919;42986.2;992;t
US-MD;afiinct992;p90p95;1920;39880;992;t
US-MD;afiinct992;p90p95;1921;42010.3;992;t
US-MD;afiinct992;p90p95;1922;46540.7;992;t
US-MD;afiinct992;p90p95;1923;41645.2;992;t
US-MD;afiinct992;p90p95;1924;53409.3;992;t
US-MD;afiinct992;p90p95;1925;60376.6;992;t
US-MD;afiinct992;p90p95;1926;61002.7;992;t
US-MD;afiinct992;p90p95;1927;61509.4;992;t
US-MD;afiinct992;p90p95;1928;62877.7;992;t
US-MD;afiinct992;p90p95;1929;63380.4;992;t
US-MD;afiinct992;p90p95;1930;74952;992;t
US-MD;afiinct992;p90p95;1931;73120.3;992;t
US-MD;afiinct992;p90p95;1932;70058.9;992;t
US-MD;afiinct992;p90p95;1933;56649.1;992;t
US-MD;afiinct992;p90p95;1934;62317.8;992;t
US-MD;afiinct992;p90p95;1935;66046.2;992;t
US-MD;afiinct992;p90p95;1936;67408.2;992;t
US-MD;afiinct992;p90p95;1937;66627.4;992;t
US-MD;afiinct992;p90p95;1938;66929;992;t
US-MD;afiinct992;p90p95;1939;62537.4;992;t
US-MD;afiinct992;p90p95;1940;53224.2;992;t
US-MD;afiinct992;p90p95;1941;59882.4;992;t
US-MD;afiinct992;p90p95;1942;58374.4;992;t
US-MD;afiinct992;p90p95;1943;63509.2;992;t
US-MD;afiinct992;p90p95;1944;67653.4;992;t
US-MD;afiinct992;p90p95;1945;57969.2;992;t
US-MD;afiinct992;p90p95;1946;59247.5;992;t
US-MD;afiinct992;p90p95;1947;59015.9;992;t
US-MD;afiinct992;p90p95;1948;60466.8;992;t
US-MD;afiinct992;p90p95;1949;63621.7;992;t
US-MD;afiinct992;p90p95;1950;61016;992;t
US-MD;afiinct992;p90p95;1951;64402.8;992;t
US-MD;afiinct992;p90p95;1952;81255.4;992;t
US-MD;afiinct992;p90p95;1953;80580.6;992;t
US-MD;afiinct992;p90p95;1954;77511.6;992;t
US-MD;afiinct992;p90p95;1955;81138.8;992;t
US-MD;afiinct992;p90p95;1956;82721.5;992;t
US-MD;afiinct992;p90p95;1957;79723;992;t
US-MD;afiinct992;p90p95;1958;83015;992;t
US-MD;afiinct992;p90p95;1959;86533.5;992;t
US-MD;afiinct992;p90p95;1960;87310.9;992;t
US-MD;afiinct992;p90p95;1961;95371;992;t
US-MD;afiinct992;p90p95;1962;93542.5;992;t
US-MD;afiinct992;p90p95;1963;98216.5;992;t
US-MD;afiinct992;p90p95;1964;104502.3;992;t
US-MD;afiinct992;p90p95;1965;111180.1;992;t
US-MD;afiinct992;p90p95;1966;116678.5;992;t
US-MD;afiinct992;p90p95;1967;117543.6;992;t
US-MD;afiinct992;p90p95;1968;121693.6;992;t
US-MD;afiinct992;p90p95;1969;123968.1;992;t
US-MD;afiinct992;p90p95;1970;122964;992;t
US-MD;afiinct992;p90p95;1971;126789.5;992;t
US-MD;afiinct992;p90p95;1972;131000.6;992;t
US-MD;afiinct992;p90p95;1973;135209;992;t
US-MD;afiinct992;p90p95;1974;126534.4;992;t
US-MD;afiinct992;p90p95;1975;127084.6;992;t
US-MD;afiinct992;p90p95;1976;126857.3;992;t
US-MD;afiinct992;p90p95;1977;135725.8;992;t
US-MD;afiinct992;p90p95;1978;129750.9;992;t
US-MD;afiinct992;p90p95;1979;131618;992;t
US-MD;afiinct992;p90p95;1980;126639.3;992;t
US-MD;afiinct992;p90p95;1981;134866.9;992;t
US-MD;afiinct992;p90p95;1982;141083.4;992;t
US-MD;afiinct992;p90p95;1983;139708.5;992;t
US-MD;afiinct992;p90p95;1984;138894.5;992;t
US-MD;afiinct992;p90p95;1985;141534.9;992;t
US-MD;afiinct992;p90p95;1986;149376.8;992;t
US-MD;afiinct992;p90p95;1987;149135.8;992;t
US-MD;afiinct992;p90p95;1988;152807.1;992;t
US-MD;afiinct992;p90p95;1989;152881.3;992;t
US-MD;afiinct992;p90p95;1990;155852;992;t
US-MD;afiinct992;p90p95;1991;157050.5;992;t
US-MD;afiinct992;p90p95;1992;155808.7;992;t
US-MD;afiinct992;p90p95;1993;154182.7;992;t
US-MD;afiinct992;p90p95;1994;156929.8;992;t
US-MD;afiinct992;p90p95;1995;161561.8;992;t
US-MD;afiinct992;p90p95;1996;171362.3;992;t
US-MD;afiinct992;p90p95;1997;181245.6;992;t
US-MD;afiinct992;p90p95;1998;178663.4;992;t
US-MD;afiinct992;p90p95;1999;187292.9;992;t
US-MD;afiinct992;p90p95;2000;191851.6;992;t
US-MD;afiinct992;p90p95;2001;188910.3;992;t
US-MD;afiinct992;p90p95;2002;194962.3;992;t
US-MD;afiinct992;p90p95;2003;193757.2;992;t
US-MD;afiinct992;p90p95;2004;190609;992;t
US-MD;afiinct992;p90p95;2005;193057.2;992;t
US-MD;afiinct992;p90p95;2006;199355.9;992;t
US-MD;afiinct992;p90p95;2007;188978.4;992;t
US-MD;afiinct992;p90p95;2008;186365.3;992;t
US-MD;afiinct992;p90p95;2009;182850.8;992;t
US-MD;afiinct992;p90p95;2010;186145.2;992;t
US-MD;afiinct992;p90p95;2011;189938.8;992;t
US-MD;afiinct992;p90p95;2012;191779.3;992;t
US-MD;afiinct992;p90p95;2013;194666.6;992;t
US-MD;afiinct992;p90p95;2014;197694.4;992;t
US-MD;afiinct992;p90p95;2015;207143;992;t
US-MD;afiinct992;p90p95;2016;205875.3;992;t
US-MD;afiinct992;p90p95;2017;221239.9;992;t
US-MD;afiinct992;p90p95;2018;224753.7;992;t
US-MD;afiinct992;p95p100;1917;141253.4;992;t
US-MD;afiinct992;p95p100;1918;117628.5;992;t
US-MD;afiinct992;p95p100;1919;123305.4;992;t
US-MD;afiinct992;p95p100;1920;107890.8;992;t
US-MD;afiinct992;p95p100;1921;109787.2;992;t
US-MD;afiinct992;p95p100;1922;125002.7;992;t
US-MD;afiinct992;p95p100;1923;121833.4;992;t
US-MD;afiinct992;p95p100;1924;131892.4;992;t
US-MD;afiinct992;p95p100;1925;144844.2;992;t
US-MD;afiinct992;p95p100;1926;149102;992;t
US-MD;afiinct992;p95p100;1927;160222;992;t
US-MD;afiinct992;p95p100;1928;169230.9;992;t
US-MD;afiinct992;p95p100;1929;174563.6;992;t
US-MD;afiinct992;p95p100;1930;146137.4;992;t
US-MD;afiinct992;p95p100;1931;134271.4;992;t
US-MD;afiinct992;p95p100;1932;120066.4;992;t
US-MD;afiinct992;p95p100;1933;117205.1;992;t
US-MD;afiinct992;p95p100;1934;125659.3;992;t
US-MD;afiinct992;p95p100;1935;127576.6;992;t
US-MD;afiinct992;p95p100;1936;148067.2;992;t
US-MD;afiinct992;p95p100;1937;142148.8;992;t
US-MD;afiinct992;p95p100;1938;129296.7;992;t
US-MD;afiinct992;p95p100;1939;140390.7;992;t
US-MD;afiinct992;p95p100;1940;142568;992;t
US-MD;afiinct992;p95p100;1941;154137.3;992;t
US-MD;afiinct992;p95p100;1942;152980;992;t
US-MD;afiinct992;p95p100;1943;163327.4;992;t
US-MD;afiinct992;p95p100;1944;148249.9;992;t
US-MD;afiinct992;p95p100;1945;149801.9;992;t
US-MD;afiinct992;p95p100;1946;158797.6;992;t
US-MD;afiinct992;p95p100;1947;144179;992;t
US-MD;afiinct992;p95p100;1948;144661.5;992;t
US-MD;afiinct992;p95p100;1949;143626;992;t
US-MD;afiinct992;p95p100;1950;159330.9;992;t
US-MD;afiinct992;p95p100;1951;169340.2;992;t
US-MD;afiinct992;p95p100;1952;160062.2;992;t
US-MD;afiinct992;p95p100;1953;152074.8;992;t
US-MD;afiinct992;p95p100;1954;155397.7;992;t
US-MD;afiinct992;p95p100;1955;158619.6;992;t
US-MD;afiinct992;p95p100;1956;160085.4;992;t
US-MD;afiinct992;p95p100;1957;157769.6;992;t
US-MD;afiinct992;p95p100;1958;153338.9;992;t
US-MD;afiinct992;p95p100;1959;181433.3;992;t
US-MD;afiinct992;p95p100;1960;169678.1;992;t
US-MD;afiinct992;p95p100;1961;188117.4;992;t
US-MD;afiinct992;p95p100;1962;182083.9;992;t
US-MD;afiinct992;p95p100;1963;186076.8;992;t
US-MD;afiinct992;p95p100;1964;206781.3;992;t
US-MD;afiinct992;p95p100;1965;221906.2;992;t
US-MD;afiinct992;p95p100;1966;219286;992;t
US-MD;afiinct992;p95p100;1967;230441;992;t
US-MD;afiinct992;p95p100;1968;249950.7;992;t
US-MD;afiinct992;p95p100;1969;244105.4;992;t
US-MD;afiinct992;p95p100;1970;222267.2;992;t
US-MD;afiinct992;p95p100;1971;231037.6;992;t
US-MD;afiinct992;p95p100;1972;243367.8;992;t
US-MD;afiinct992;p95p100;1973;248700.4;992;t
US-MD;afiinct992;p95p100;1974;257075.2;992;t
US-MD;afiinct992;p95p100;1975;218953.3;992;t
US-MD;afiinct992;p95p100;1976;221860.5;992;t
US-MD;afiinct992;p95p100;1977;226747.9;992;t
US-MD;afiinct992;p95p100;1978;234622.3;992;t
US-MD;afiinct992;p95p100;1979;245855.8;992;t
US-MD;afiinct992;p95p100;1980;239755.6;992;t
US-MD;afiinct992;p95p100;1981;238279.5;992;t
US-MD;afiinct992;p95p100;1982;270956.2;992;t
US-MD;afiinct992;p95p100;1983;255479.9;992;t
US-MD;afiinct992;p95p100;1984;275697.6;992;t
US-MD;afiinct992;p95p100;1985;295923.4;992;t
US-MD;afiinct992;p95p100;1986;361417.7;992;t
US-MD;afiinct992;p95p100;1987;317686.3;992;t
US-MD;afiinct992;p95p100;1988;366782.5;992;t
US-MD;afiinct992;p95p100;1989;357391.5;992;t
US-MD;afiinct992;p95p100;1990;340174.5;992;t
US-MD;afiinct992;p95p100;1991;321363.4;992;t
US-MD;afiinct992;p95p100;1992;331991.2;992;t
US-MD;afiinct992;p95p100;1993;332235.5;992;t
US-MD;afiinct992;p95p100;1994;338182.1;992;t
US-MD;afiinct992;p95p100;1995;359107.1;992;t
US-MD;afiinct992;p95p100;1996;384988.2;992;t
US-MD;afiinct992;p95p100;1997;443333.3;992;t
US-MD;afiinct992;p95p100;1998;467522.8;992;t
US-MD;afiinct992;p95p100;1999;511466;992;t
US-MD;afiinct992;p95p100;2000;565157;992;t
US-MD;afiinct992;p95p100;2001;491682.3;992;t
US-MD;afiinct992;p95p100;2002;460707.4;992;t
US-MD;afiinct992;p95p100;2003;474608.7;992;t
US-MD;afiinct992;p95p100;2004;547557.3;992;t
US-MD;afiinct992;p95p100;2005;584818.7;992;t
US-MD;afiinct992;p95p100;2006;607932.1;992;t
US-MD;afiinct992;p95p100;2007;640895.3;992;t
US-MD;afiinct992;p95p100;2008;540097.8;992;t
US-MD;afiinct992;p95p100;2009;488135.5;992;t
US-MD;afiinct992;p95p100;2010;506048.4;992;t
US-MD;afiinct992;p95p100;2011;509717.7;992;t
US-MD;afiinct992;p95p100;2012;547898;992;t
