country;variable;percentile;year;value;age;pop
US-GA;afiinct992;p0p100;1917;103400.4;992;t
US-GA;afiinct992;p0p100;1918;10956.7;992;t
US-GA;afiinct992;p0p100;1919;16650.7;992;t
US-GA;afiinct992;p0p100;1920;6972.5;992;t
US-GA;afiinct992;p0p100;1921;5391.200000000001;992;t
US-GA;afiinct992;p0p100;1922;6193.900000000001;992;t
US-GA;afiinct992;p0p100;1923;7074.700000000001;992;t
US-GA;afiinct992;p0p100;1924;93379.3;992;t
US-GA;afiinct992;p0p100;1925;16204.3;992;t
US-GA;afiinct992;p0p100;1926;98986.5;992;t
US-GA;afiinct992;p0p100;1927;99244.90000000001;992;t
US-GA;afiinct992;p0p100;1928;100165.8;992;t
US-GA;afiinct992;p0p100;1929;101111.8;992;t
US-GA;afiinct992;p0p100;1930;91390.6;992;t
US-GA;afiinct992;p0p100;1931;90823.20000000001;992;t
US-GA;afiinct992;p0p100;1932;80824.8;992;t
US-GA;afiinct992;p0p100;1933;82151.6;992;t
US-GA;afiinct992;p0p100;1934;89358.90000000001;992;t
US-GA;afiinct992;p0p100;1935;95329;992;t
US-GA;afiinct992;p0p100;1936;105762.2;992;t
US-GA;afiinct992;p0p100;1937;197132.1;992;t
US-GA;afiinct992;p0p100;1938;103605.9;992;t
US-GA;afiinct992;p0p100;1939;112801.4;992;t
US-GA;afiinct992;p0p100;1940;10175.2;992;t
US-GA;afiinct992;p0p100;1941;9113.300000000001;992;t
US-GA;afiinct992;p0p100;1942;13584.2;992;t
US-GA;afiinct992;p0p100;1943;151247.4;992;t
US-GA;afiinct992;p0p100;1944;138466.2;992;t
US-GA;afiinct992;p0p100;1945;156488.4;992;t
US-GA;afiinct992;p0p100;1946;169167;992;t
US-GA;afiinct992;p0p100;1947;149481.9;992;t
US-GA;afiinct992;p0p100;1948;140513.4;992;t
US-GA;afiinct992;p0p100;1949;135159.6;992;t
US-GA;afiinct992;p0p100;1950;144140.2;992;t
US-GA;afiinct992;p0p100;1951;166148.7;992;t
US-GA;afiinct992;p0p100;1952;162051.4;992;t
US-GA;afiinct992;p0p100;1953;155587.1;992;t
US-GA;afiinct992;p0p100;1954;290415.7;992;t
US-GA;afiinct992;p0p100;1955;21514.6;992;t
US-GA;afiinct992;p0p100;1956;22364.8;992;t
US-GA;afiinct992;p0p100;1957;21925.7;992;t
US-GA;afiinct992;p0p100;1958;21777.6;992;t
US-GA;afiinct992;p0p100;1959;177842.2;992;t
US-GA;afiinct992;p0p100;1960;190316.4;992;t
US-GA;afiinct992;p0p100;1961;190971.1;992;t
US-GA;afiinct992;p0p100;1962;194080.4;992;t
US-GA;afiinct992;p0p100;1963;208551.6;992;t
US-GA;afiinct992;p0p100;1964;225238.2;992;t
US-GA;afiinct992;p0p100;1965;257404.9;992;t
US-GA;afiinct992;p0p100;1966;259273.1;992;t
US-GA;afiinct992;p0p100;1967;147031.2;992;t
US-GA;afiinct992;p0p100;1968;274793.8;992;t
US-GA;afiinct992;p0p100;1969;1608536;992;t
US-GA;afiinct992;p0p100;1970;33854;992;t
US-GA;afiinct992;p0p100;1971;34358.9;992;t
US-GA;afiinct992;p0p100;1972;294099;992;t
US-GA;afiinct992;p0p100;1973;293192;992;t
US-GA;afiinct992;p0p100;1974;273785.3;992;t
US-GA;afiinct992;p0p100;1975;245986.7;992;t
US-GA;afiinct992;p0p100;1976;238984.9;992;t
US-GA;afiinct992;p0p100;1977;257479.4;992;t
US-GA;afiinct992;p0p100;1978;269725;992;t
US-GA;afiinct992;p0p100;1979;658218.4;992;t
US-GA;afiinct992;p0p100;1980;37586.3;992;t
US-GA;afiinct992;p0p100;1981;36749.6;992;t
US-GA;afiinct992;p0p100;1982;265398.3;992;t
US-GA;afiinct992;p0p100;1983;277981.5;992;t
US-GA;afiinct992;p0p100;1984;298074.4;992;t
US-GA;afiinct992;p0p100;1985;327318.2;992;t
US-GA;afiinct992;p0p100;1986;878721.8;992;t
US-GA;afiinct992;p0p100;1987;38782.3;992;t
US-GA;afiinct992;p0p100;1988;38709.6;992;t
US-GA;afiinct992;p0p100;1989;38099.6;992;t
US-GA;afiinct992;p0p100;1990;375123.6;992;t
US-GA;afiinct992;p0p100;1991;1737250.7;992;t
US-GA;afiinct992;p0p100;1992;389943.7;992;t
US-GA;afiinct992;p0p100;1993;391054.6;992;t
US-GA;afiinct992;p0p100;1994;140006.2;992;t
US-GA;afiinct992;p0p100;1995;439450.5;992;t
US-GA;afiinct992;p0p100;1996;480247.1;992;t
US-GA;afiinct992;p0p100;1997;517048.9;992;t
US-GA;afiinct992;p0p100;1998;20334319.8;992;t
US-GA;afiinct992;p0p100;1999;617296.8;992;t
US-GA;afiinct992;p0p100;2000;629473.9;992;t
US-GA;afiinct992;p0p100;2001;3195273.7;992;t
US-GA;afiinct992;p0p100;2002;46019.9;992;t
US-GA;afiinct992;p0p100;2003;45918.10000000001;992;t
US-GA;afiinct992;p0p100;2004;45682.9;992;t
US-GA;afiinct992;p0p100;2005;28544391.6;992;t
US-GA;afiinct992;p0p100;2006;610424.5;992;t
US-GA;afiinct992;p0p100;2007;175190.5;992;t
US-GA;afiinct992;p0p100;2008;5273135.300000001;992;t
US-GA;afiinct992;p0p100;2009;1494937.1;992;t
US-GA;afiinct992;p0p100;2010;163550.9;992;t
US-GA;afiinct992;p0p100;2011;53023.8;992;t
US-GA;afiinct992;p0p100;2012;554068.2000000001;992;t
US-GA;afiinct992;p0p100;2013;539210.1;992;t
US-GA;afiinct992;p0p100;2014;54212.3;992;t
US-GA;afiinct992;p0p100;2015;23257634.5;992;t
US-GA;afiinct992;p0p100;2016;563558.5;992;t
US-GA;afiinct992;p0p100;2017;361793.1;992;t
US-GA;afiinct992;p0p100;2018;641623.8;992;t
US-GA;npopult992;p0p100;1917;1057516;992;t
US-GA;npopult992;p0p100;1918;1053029;992;t
US-GA;npopult992;p0p100;1919;1062385;992;t
US-GA;npopult992;p0p100;1920;1078085;992;t
US-GA;npopult992;p0p100;1921;1084223;992;t
US-GA;npopult992;p0p100;1922;1084316;992;t
US-GA;npopult992;p0p100;1923;1087862;992;t
US-GA;npopult992;p0p100;1924;1093527;992;t
US-GA;npopult992;p0p100;1925;1094541;992;t
US-GA;npopult992;p0p100;1926;1093786;992;t
US-GA;npopult992;p0p100;1927;1093365;992;t
US-GA;npopult992;p0p100;1928;1091138;992;t
US-GA;npopult992;p0p100;1929;1086706;992;t
US-GA;npopult992;p0p100;1930;1082514;992;t
US-GA;npopult992;p0p100;1931;1096917;992;t
US-GA;npopult992;p0p100;1932;1110040;992;t
US-GA;npopult992;p0p100;1933;1122753;992;t
US-GA;npopult992;p0p100;1934;1136122;992;t
US-GA;npopult992;p0p100;1935;1150382;992;t
US-GA;npopult992;p0p100;1936;1164141;992;t
US-GA;npopult992;p0p100;1937;1177777;992;t
US-GA;npopult992;p0p100;1938;1193677;992;t
US-GA;npopult992;p0p100;1939;1210274;992;t
US-GA;npopult992;p0p100;1940;1228821;992;t
US-GA;npopult992;p0p100;1941;1230516;992;t
US-GA;npopult992;p0p100;1942;1233491;992;t
US-GA;npopult992;p0p100;1943;1239926;992;t
US-GA;npopult992;p0p100;1944;1243924;992;t
US-GA;npopult992;p0p100;1945;1246375;992;t
US-GA;npopult992;p0p100;1946;1247806;992;t
US-GA;npopult992;p0p100;1947;1260011;992;t
US-GA;npopult992;p0p100;1948;1269594;992;t
US-GA;npopult992;p0p100;1949;1279041;992;t
US-GA;npopult992;p0p100;1950;1292360;992;t
US-GA;npopult992;p0p100;1951;1302554;992;t
US-GA;npopult992;p0p100;1952;1312759;992;t
US-GA;npopult992;p0p100;1953;1322030;992;t
US-GA;npopult992;p0p100;1954;1332444;992;t
US-GA;npopult992;p0p100;1955;1342759;992;t
US-GA;npopult992;p0p100;1956;1352975;992;t
US-GA;npopult992;p0p100;1957;1363409;992;t
US-GA;npopult992;p0p100;1958;1371731;992;t
US-GA;npopult992;p0p100;1959;1379792;992;t
US-GA;npopult992;p0p100;1960;1386375;992;t
US-GA;npopult992;p0p100;1961;1422795;992;t
US-GA;npopult992;p0p100;1962;1458360;992;t
US-GA;npopult992;p0p100;1963;1493288;992;t
US-GA;npopult992;p0p100;1964;1528227;992;t
US-GA;npopult992;p0p100;1965;1561755;992;t
US-GA;npopult992;p0p100;1966;1594439;992;t
US-GA;npopult992;p0p100;1967;1626665;992;t
US-GA;npopult992;p0p100;1968;1657980;992;t
US-GA;npopult992;p0p100;1969;1689472;992;t
US-GA;npopult992;p0p100;1970;1724734;992;t
US-GA;npopult992;p0p100;1971;1770706;992;t
US-GA;npopult992;p0p100;1972;1814511;992;t
US-GA;npopult992;p0p100;1973;1857365;992;t
US-GA;npopult992;p0p100;1974;1900593;992;t
US-GA;npopult992;p0p100;1975;1946378;992;t
US-GA;npopult992;p0p100;1976;1992703;992;t
US-GA;npopult992;p0p100;1977;2041428;992;t
US-GA;npopult992;p0p100;1978;2092632;992;t
US-GA;npopult992;p0p100;1979;2185197;992;t
US-GA;npopult992;p0p100;1980;2198282;992;t
US-GA;npopult992;p0p100;1981;2262605;992;t
US-GA;npopult992;p0p100;1982;2445010;992;t
US-GA;npopult992;p0p100;1983;2445010;992;t
US-GA;npopult992;p0p100;1984;2557359;992;t
US-GA;npopult992;p0p100;1985;2615242;992;t
US-GA;npopult992;p0p100;1986;2727740;992;t
US-GA;npopult992;p0p100;1987;2827509;992;t
US-GA;npopult992;p0p100;1988;2936689;992;t
US-GA;npopult992;p0p100;1989;3043862;992;t
US-GA;npopult992;p0p100;1990;3055799;992;t
US-GA;npopult992;p0p100;1991;3121026;992;t
US-GA;npopult992;p0p100;1992;3212266;992;t
US-GA;npopult992;p0p100;1993;3275332;992;t
US-GA;npopult992;p0p100;1994;3377046;992;t
US-GA;npopult992;p0p100;1995;3441949;992;t
US-GA;npopult992;p0p100;1996;3460714;992;t
US-GA;npopult992;p0p100;1997;3605841;992;t
US-GA;npopult992;p0p100;1998;3703968;992;t
US-GA;npopult992;p0p100;1999;3724207;992;t
US-GA;npopult992;p0p100;2000;3881320;992;t
US-GA;npopult992;p0p100;2001;3988909;992;t
US-GA;npopult992;p0p100;2002;4032886;992;t
US-GA;npopult992;p0p100;2003;4105045;992;t
US-GA;npopult992;p0p100;2004;4268519;992;t
US-GA;npopult992;p0p100;2005;4309912;992;t
US-GA;npopult992;p0p100;2006;4506541;992;t
US-GA;npopult992;p0p100;2007;4640777;992;t
US-GA;npopult992;p0p100;2008;4714968;992;t
US-GA;npopult992;p0p100;2009;4777533;992;t
US-GA;npopult992;p0p100;2010;4790994;992;t
US-GA;npopult992;p0p100;2011;4858077;992;t
US-GA;npopult992;p0p100;2012;4884750;992;t
US-GA;npopult992;p0p100;2013;5087104;992;t
US-GA;npopult992;p0p100;2014;5115779;992;t
US-GA;npopult992;p0p100;2015;5180837;992;t
US-GA;npopult992;p0p100;2016;5345182;992;t
US-GA;npopult992;p0p100;2017;5374070;992;t
US-GA;npopult992;p0p100;2018;5353697;992;t
US-GA;ntaxret992;p0p100;1917;38252;992;t
US-GA;ntaxret992;p0p100;1918;39073;992;t
US-GA;ntaxret992;p0p100;1919;58930;992;t
US-GA;ntaxret992;p0p100;1920;73325;992;t
US-GA;ntaxret992;p0p100;1921;67719;992;t
US-GA;ntaxret992;p0p100;1922;69988;992;t
US-GA;ntaxret992;p0p100;1923;71341;992;t
US-GA;ntaxret992;p0p100;1924;62651;992;t
US-GA;ntaxret992;p0p100;1925;37410;992;t
US-GA;ntaxret992;p0p100;1926;36744;992;t
US-GA;ntaxret992;p0p100;1927;33818;992;t
US-GA;ntaxret992;p0p100;1928;32921;992;t
US-GA;ntaxret992;p0p100;1929;33333;992;t
US-GA;ntaxret992;p0p100;1930;30423;992;t
US-GA;ntaxret992;p0p100;1931;27433;992;t
US-GA;ntaxret992;p0p100;1932;33620;992;t
US-GA;ntaxret992;p0p100;1933;33612;992;t
US-GA;ntaxret992;p0p100;1934;38951;992;t
US-GA;ntaxret992;p0p100;1935;47511;992;t
US-GA;ntaxret992;p0p100;1936;50152;992;t
US-GA;ntaxret992;p0p100;1937;57685;992;t
US-GA;ntaxret992;p0p100;1938;58989;992;t
US-GA;ntaxret992;p0p100;1939;70326;992;t
US-GA;ntaxret992;p0p100;1940;130097;992;t
US-GA;ntaxret992;p0p100;1941;257658;992;t
US-GA;ntaxret992;p0p100;1942;416531;992;t
US-GA;ntaxret992;p0p100;1943;616065;992;t
US-GA;ntaxret992;p0p100;1944;682269;992;t
US-GA;ntaxret992;p0p100;1945;751585;992;t
US-GA;ntaxret992;p0p100;1946;758773;992;t
US-GA;ntaxret992;p0p100;1947;762366;992;t
US-GA;ntaxret992;p0p100;1948;741220;992;t
US-GA;ntaxret992;p0p100;1949;725497;992;t
US-GA;ntaxret992;p0p100;1950;770782;992;t
US-GA;ntaxret992;p0p100;1951;844144;992;t
US-GA;ntaxret992;p0p100;1952;884181;992;t
US-GA;ntaxret992;p0p100;1953;920035;992;t
US-GA;ntaxret992;p0p100;1954;886480;992;t
US-GA;ntaxret992;p0p100;1955;962294;992;t
US-GA;ntaxret992;p0p100;1956;989083;992;t
US-GA;ntaxret992;p0p100;1957;1006981;992;t
US-GA;ntaxret992;p0p100;1958;1007090;992;t
US-GA;ntaxret992;p0p100;1959;1042878;992;t
US-GA;ntaxret992;p0p100;1960;1055399;992;t
US-GA;ntaxret992;p0p100;1961;1078957;992;t
US-GA;ntaxret992;p0p100;1962;1096984;992;t
US-GA;ntaxret992;p0p100;1963;1161618;992;t
US-GA;ntaxret992;p0p100;1964;1290561;992;t
US-GA;ntaxret992;p0p100;1965;1404697;992;t
US-GA;ntaxret992;p0p100;1966;1472362;992;t
US-GA;ntaxret992;p0p100;1967;1387694;992;t
US-GA;ntaxret992;p0p100;1968;1445566;992;t
US-GA;ntaxret992;p0p100;1969;1517080;992;t
US-GA;ntaxret992;p0p100;1970;1541514;992;t
US-GA;ntaxret992;p0p100;1971;1541677;992;t
US-GA;ntaxret992;p0p100;1972;1658777;992;t
US-GA;ntaxret992;p0p100;1973;1741547;992;t
US-GA;ntaxret992;p0p100;1974;1799121;992;t
US-GA;ntaxret992;p0p100;1975;1776459;992;t
US-GA;ntaxret992;p0p100;1976;1847360;992;t
US-GA;ntaxret992;p0p100;1977;1924620;992;t
US-GA;ntaxret992;p0p100;1978;1999798;992;t
US-GA;ntaxret992;p0p100;1979;2115568;992;t
US-GA;ntaxret992;p0p100;1980;2130647;992;t
US-GA;ntaxret992;p0p100;1981;2182645;992;t
US-GA;ntaxret992;p0p100;1982;2135895;992;t
US-GA;ntaxret992;p0p100;1983;2260477;992;t
US-GA;ntaxret992;p0p100;1984;2375875;992;t
US-GA;ntaxret992;p0p100;1985;2466881;992;t
US-GA;ntaxret992;p0p100;1986;2547529;992;t
US-GA;ntaxret992;p0p100;1987;2661216;992;t
US-GA;ntaxret992;p0p100;1988;2741437;992;t
US-GA;ntaxret992;p0p100;1989;2820274;992;t
US-GA;ntaxret992;p0p100;1990;2881979;992;t
US-GA;ntaxret992;p0p100;1991;2946924;992;t
US-GA;ntaxret992;p0p100;1992;2986756;992;t
US-GA;ntaxret992;p0p100;1993;3022938;992;t
US-GA;ntaxret992;p0p100;1994;3100375;992;t
US-GA;ntaxret992;p0p100;1995;3204859;992;t
US-GA;ntaxret992;p0p100;1996;3305276;992;t
US-GA;ntaxret992;p0p100;1997;3377576;992;t
US-GA;ntaxret992;p0p100;1998;3471292;992;t
US-GA;ntaxret992;p0p100;1999;3555069;992;t
US-GA;ntaxret992;p0p100;2000;3636926;992;t
US-GA;ntaxret992;p0p100;2001;3655752;992;t
US-GA;ntaxret992;p0p100;2002;3660481;992;t
US-GA;ntaxret992;p0p100;2003;3709312;992;t
US-GA;ntaxret992;p0p100;2004;3782867;992;t
US-GA;ntaxret992;p0p100;2005;3917976;992;t
US-GA;ntaxret992;p0p100;2006;4075882;992;t
US-GA;ntaxret992;p0p100;2007;4560422;992;t
US-GA;ntaxret992;p0p100;2008;4255054;992;t
US-GA;ntaxret992;p0p100;2009;4447966;992;t
US-GA;ntaxret992;p0p100;2010;4589611;992;t
US-GA;ntaxret992;p0p100;2011;4671692;992;t
US-GA;ntaxret992;p0p100;2012;4335320;992;t
US-GA;ntaxret992;p0p100;2013;4358720;992;t
US-GA;ntaxret992;p0p100;2014;4378120;992;t
US-GA;ntaxret992;p0p100;2015;4442630;992;t
US-GA;ntaxret992;p0p100;2016;4435080;992;t
US-GA;ntaxret992;p0p100;2017;4542520;992;t
US-GA;ntaxret992;p0p100;2018;4581030;992;t
US-GA;sfiinct992;p0p100;1917;1;992;t
US-GA;sfiinct992;p0p100;1918;1;992;t
US-GA;sfiinct992;p0p100;1919;1;992;t
US-GA;sfiinct992;p0p100;1920;1;992;t
US-GA;sfiinct992;p0p100;1921;1;992;t
US-GA;sfiinct992;p0p100;1922;1;992;t
US-GA;sfiinct992;p0p100;1923;1;992;t
US-GA;sfiinct992;p0p100;1924;1;992;t
US-GA;sfiinct992;p0p100;1925;1;992;t
US-GA;sfiinct992;p0p100;1926;1;992;t
US-GA;sfiinct992;p0p100;1927;1;992;t
US-GA;sfiinct992;p0p100;1928;1;992;t
US-GA;sfiinct992;p0p100;1929;1;992;t
US-GA;sfiinct992;p0p100;1930;1;992;t
US-GA;sfiinct992;p0p100;1931;1;992;t
US-GA;sfiinct992;p0p100;1932;1;992;t
US-GA;sfiinct992;p0p100;1933;1;992;t
US-GA;sfiinct992;p0p100;1934;1;992;t
US-GA;sfiinct992;p0p100;1935;1;992;t
US-GA;sfiinct992;p0p100;1936;1;992;t
US-GA;sfiinct992;p0p100;1937;1;992;t
US-GA;sfiinct992;p0p100;1938;1;992;t
US-GA;sfiinct992;p0p100;1939;1;992;t
US-GA;sfiinct992;p0p100;1940;1;992;t
US-GA;sfiinct992;p0p100;1941;1;992;t
US-GA;sfiinct992;p0p100;1942;1;992;t
US-GA;sfiinct992;p0p100;1943;1;992;t
US-GA;sfiinct992;p0p100;1944;1;992;t
US-GA;sfiinct992;p0p100;1945;1;992;t
US-GA;sfiinct992;p0p100;1946;1;992;t
US-GA;sfiinct992;p0p100;1947;1;992;t
US-GA;sfiinct992;p0p100;1948;1;992;t
US-GA;sfiinct992;p0p100;1949;1;992;t
US-GA;sfiinct992;p0p100;1950;1;992;t
US-GA;sfiinct992;p0p100;1951;1;992;t
US-GA;sfiinct992;p0p100;1952;1;992;t
US-GA;sfiinct992;p0p100;1953;1;992;t
US-GA;sfiinct992;p0p100;1954;1;992;t
US-GA;sfiinct992;p0p100;1955;1;992;t
US-GA;sfiinct992;p0p100;1956;1;992;t
US-GA;sfiinct992;p0p100;1957;1;992;t
US-GA;sfiinct992;p0p100;1958;1;992;t
US-GA;sfiinct992;p0p100;1959;1;992;t
US-GA;sfiinct992;p0p100;1960;1;992;t
US-GA;sfiinct992;p0p100;1961;1;992;t
US-GA;sfiinct992;p0p100;1962;1;992;t
US-GA;sfiinct992;p0p100;1963;1;992;t
US-GA;sfiinct992;p0p100;1964;1;992;t
US-GA;sfiinct992;p0p100;1965;1;992;t
US-GA;sfiinct992;p0p100;1966;1;992;t
US-GA;sfiinct992;p0p100;1967;1;992;t
US-GA;sfiinct992;p0p100;1968;1;992;t
US-GA;sfiinct992;p0p100;1969;1;992;t
US-GA;sfiinct992;p0p100;1970;1;992;t
US-GA;sfiinct992;p0p100;1971;1;992;t
US-GA;sfiinct992;p0p100;1972;1;992;t
US-GA;sfiinct992;p0p100;1973;1;992;t
US-GA;sfiinct992;p0p100;1974;1;992;t
US-GA;sfiinct992;p0p100;1975;1;992;t
US-GA;sfiinct992;p0p100;1976;1;992;t
US-GA;sfiinct992;p0p100;1977;1;992;t
US-GA;sfiinct992;p0p100;1978;1;992;t
US-GA;sfiinct992;p0p100;1979;1;992;t
US-GA;sfiinct992;p0p100;1980;1;992;t
US-GA;sfiinct992;p0p100;1981;1;992;t
US-GA;sfiinct992;p0p100;1982;1;992;t
US-GA;sfiinct992;p0p100;1983;1;992;t
US-GA;sfiinct992;p0p100;1984;1;992;t
US-GA;sfiinct992;p0p100;1985;1;992;t
US-GA;sfiinct992;p0p100;1986;1;992;t
US-GA;sfiinct992;p0p100;1987;1;992;t
US-GA;sfiinct992;p0p100;1988;1;992;t
US-GA;sfiinct992;p0p100;1989;1;992;t
US-GA;sfiinct992;p0p100;1990;1;992;t
US-GA;sfiinct992;p0p100;1991;1;992;t
US-GA;sfiinct992;p0p100;1992;1;992;t
US-GA;sfiinct992;p0p100;1993;1;992;t
US-GA;sfiinct992;p0p100;1994;1;992;t
US-GA;sfiinct992;p0p100;1995;1;992;t
US-GA;sfiinct992;p0p100;1996;1;992;t
US-GA;sfiinct992;p0p100;1997;1;992;t
US-GA;sfiinct992;p0p100;1998;1;992;t
US-GA;sfiinct992;p0p100;1999;1;992;t
US-GA;sfiinct992;p0p100;2000;1;992;t
US-GA;sfiinct992;p0p100;2001;1;992;t
US-GA;sfiinct992;p0p100;2002;1;992;t
US-GA;sfiinct992;p0p100;2003;1;992;t
US-GA;sfiinct992;p0p100;2004;1;992;t
US-GA;sfiinct992;p0p100;2005;1;992;t
US-GA;sfiinct992;p0p100;2006;1;992;t
US-GA;sfiinct992;p0p100;2007;1;992;t
US-GA;sfiinct992;p0p100;2008;1;992;t
US-GA;sfiinct992;p0p100;2009;1;992;t
US-GA;sfiinct992;p0p100;2010;1;992;t
US-GA;sfiinct992;p0p100;2011;1;992;t
US-GA;sfiinct992;p0p100;2012;1;992;t
US-GA;sfiinct992;p0p100;2013;1;992;t
US-GA;sfiinct992;p0p100;2014;1;992;t
US-GA;sfiinct992;p0p100;2015;1;992;t
US-GA;sfiinct992;p0p100;2016;1;992;t
US-GA;sfiinct992;p0p100;2017;1;992;t
US-GA;sfiinct992;p0p100;2018;1;992;t
US-GA;sfiinct992;p0p90;1917;0.6806;992;t
US-GA;sfiinct992;p0p90;1918;0.7024;992;t
US-GA;sfiinct992;p0p90;1919;0.6663;992;t
US-GA;sfiinct992;p0p90;1920;0.6086;992;t
US-GA;sfiinct992;p0p90;1921;0.5594;992;t
US-GA;sfiinct992;p0p90;1922;0.5581;992;t
US-GA;sfiinct992;p0p90;1923;0.5785;992;t
US-GA;sfiinct992;p0p90;1924;0.5894;992;t
US-GA;sfiinct992;p0p90;1925;0.6297;992;t
US-GA;sfiinct992;p0p90;1926;0.6428;992;t
US-GA;sfiinct992;p0p90;1927;0.6491;992;t
US-GA;sfiinct992;p0p90;1928;0.6642;992;t
US-GA;sfiinct992;p0p90;1929;0.6799;992;t
US-GA;sfiinct992;p0p90;1930;0.6648;992;t
US-GA;sfiinct992;p0p90;1931;0.6159;992;t
US-GA;sfiinct992;p0p90;1932;0.5572;992;t
US-GA;sfiinct992;p0p90;1933;0.5809;992;t
US-GA;sfiinct992;p0p90;1934;0.5789;992;t
US-GA;sfiinct992;p0p90;1935;0.5737;992;t
US-GA;sfiinct992;p0p90;1936;0.5786;992;t
US-GA;sfiinct992;p0p90;1937;0.5812;992;t
US-GA;sfiinct992;p0p90;1938;0.562;992;t
US-GA;sfiinct992;p0p90;1939;0.5475;992;t
US-GA;sfiinct992;p0p90;1940;0.4825;992;t
US-GA;sfiinct992;p0p90;1941;0.5451;992;t
US-GA;sfiinct992;p0p90;1942;0.639;992;t
US-GA;sfiinct992;p0p90;1943;0.6561;992;t
US-GA;sfiinct992;p0p90;1944;0.6948;992;t
US-GA;sfiinct992;p0p90;1945;0.6564;992;t
US-GA;sfiinct992;p0p90;1946;0.6024;992;t
US-GA;sfiinct992;p0p90;1947;0.6258;992;t
US-GA;sfiinct992;p0p90;1948;0.6394;992;t
US-GA;sfiinct992;p0p90;1949;0.6415;992;t
US-GA;sfiinct992;p0p90;1950;0.6568;992;t
US-GA;sfiinct992;p0p90;1952;0.6483;992;t
US-GA;sfiinct992;p0p90;1953;0.6655;992;t
US-GA;sfiinct992;p0p90;1954;0.6389;992;t
US-GA;sfiinct992;p0p90;1955;0.6593;992;t
US-GA;sfiinct992;p0p90;1956;0.667;992;t
US-GA;sfiinct992;p0p90;1957;0.6671;992;t
US-GA;sfiinct992;p0p90;1958;0.6621;992;t
US-GA;sfiinct992;p0p90;1959;0.6656;992;t
US-GA;sfiinct992;p0p90;1960;0.6598;992;t
US-GA;sfiinct992;p0p90;1961;0.6558;992;t
US-GA;sfiinct992;p0p90;1962;0.6549;992;t
US-GA;sfiinct992;p0p90;1963;0.6648;992;t
US-GA;sfiinct992;p0p90;1964;0.6503;992;t
US-GA;sfiinct992;p0p90;1965;0.6495;992;t
US-GA;sfiinct992;p0p90;1966;0.6592;992;t
US-GA;sfiinct992;p0p90;1967;0.6628;992;t
US-GA;sfiinct992;p0p90;1968;0.6604;992;t
US-GA;sfiinct992;p0p90;1969;0.6519;992;t
US-GA;sfiinct992;p0p90;1970;0.6684;992;t
US-GA;sfiinct992;p0p90;1971;0.664;992;t
US-GA;sfiinct992;p0p90;1972;0.658;992;t
US-GA;sfiinct992;p0p90;1973;0.6562;992;t
US-GA;sfiinct992;p0p90;1974;0.6709;992;t
US-GA;sfiinct992;p0p90;1975;0.6672;992;t
US-GA;sfiinct992;p0p90;1976;0.6794;992;t
US-GA;sfiinct992;p0p90;1977;0.6762;992;t
US-GA;sfiinct992;p0p90;1978;0.6783;992;t
US-GA;sfiinct992;p0p90;1979;0.6604;992;t
US-GA;sfiinct992;p0p90;1980;0.6679;992;t
US-GA;sfiinct992;p0p90;1981;0.6593;992;t
US-GA;sfiinct992;p0p90;1982;0.6406;992;t
US-GA;sfiinct992;p0p90;1983;0.6449;992;t
US-GA;sfiinct992;p0p90;1984;0.6353;992;t
US-GA;sfiinct992;p0p90;1985;0.6238;992;t
US-GA;sfiinct992;p0p90;1986;0.6011;992;t
US-GA;sfiinct992;p0p90;1987;0.6256;992;t
US-GA;sfiinct992;p0p90;1988;0.6014;992;t
US-GA;sfiinct992;p0p90;1989;0.6079;992;t
US-GA;sfiinct992;p0p90;1990;0.6054;992;t
US-GA;sfiinct992;p0p90;1991;0.6065;992;t
US-GA;sfiinct992;p0p90;1992;0.5987;992;t
US-GA;sfiinct992;p0p90;1993;0.5957;992;t
US-GA;sfiinct992;p0p90;1994;0.5963;992;t
US-GA;sfiinct992;p0p90;1995;0.5864;992;t
US-GA;sfiinct992;p0p90;1996;0.5814;992;t
US-GA;sfiinct992;p0p90;1997;0.5679;992;t
US-GA;sfiinct992;p0p90;1998;0.5648;992;t
US-GA;sfiinct992;p0p90;1999;0.564;992;t
US-GA;sfiinct992;p0p90;2000;0.5588;992;t
US-GA;sfiinct992;p0p90;2001;0.5744;992;t
US-GA;sfiinct992;p0p90;2002;0.5842;992;t
US-GA;sfiinct992;p0p90;2003;0.5829;992;t
US-GA;sfiinct992;p0p90;2004;0.5684;992;t
US-GA;sfiinct992;p0p90;2005;0.5517;992;t
US-GA;sfiinct992;p0p90;2006;0.5319;992;t
US-GA;sfiinct992;p0p90;2007;0.5317;992;t
US-GA;sfiinct992;p0p90;2008;0.5427;992;t
US-GA;sfiinct992;p0p90;2009;0.5462;992;t
US-GA;sfiinct992;p0p90;2010;0.5357;992;t
US-GA;sfiinct992;p0p90;2011;0.5349;992;t
US-GA;sfiinct992;p0p90;2012;0.5137;992;t
US-GA;sfiinct992;p0p90;2013;0.5105;992;t
US-GA;sfiinct992;p0p90;2014;0.5111;992;t
US-GA;sfiinct992;p0p90;2015;0.5163;992;t
US-GA;sfiinct992;p0p90;2016;0.5193;992;t
US-GA;sfiinct992;p0p90;2017;0.489;992;t
US-GA;sfiinct992;p0p90;2018;0.5054;992;t
US-GA;sfiinct992;p0p99;1917;0.8707;992;t
US-GA;sfiinct992;p0p99;1918;0.8704;992;t
